Unnamed: 0,Reactants,Products,Reagents,Labels,Frequency,Split,Mask
0,O=C(OCc1ccccc1)[NH:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27],[NH2:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27],,"[('a', 0, 116)]",197,train,1
1,O[C:1](=[O:2])[c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1.[NH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12,[C:1](=[O:2])([c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1)[NH:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12,,"[('b', 37, 547)]",4537,train,1
2,O=[CH:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1.[CH3:44][CH2:45][NH:46][CH2:47][CH3:48],[CH2:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1)[N:46]([CH2:45][CH3:44])[CH2:47][CH3:48],,"[('b', 85, 544)]",1299,train,1
3,[CH3:6][C:7]1([CH3:8])[CH2:9][CH2:10][C:11]([CH2:12][N:13]2[CH2:14][CH2:15][N:16]([c:17]3[cH:18][cH:19][c:20]([C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]4[cH:28][cH:29][c:30]([NH:31][CH2:32][CH:33]5[CH2:34][NH:35][CH2:36]5)[c:37]([N+:38](=[O:39])[O-:40])[cH:41]4)[c:42]([O:43][c:44]4[cH:45][n:46][c:47]5[nH:48][cH:49][cH:50][c:51]5[cH:52]4)[cH:53]3)[CH2:54][CH2:55]2)=[C:56]([c:57]2[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]2)[CH2:64]1.O=[C:1]([CH2:2][F:3])[CH2:4][F:5],[CH:1]([CH2:2][F:3])([CH2:4][F:5])[N:35]1[CH2:34][CH:33]([CH2:32][NH:31][c:30]2[cH:29][cH:28][c:27]([S:24]([NH:23][C:21]([c:20]3[cH:19][cH:18][c:17]([N:16]4[CH2:15][CH2:14][N:13]([CH2:12][C:11]5=[C:56]([c:57]6[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]6)[CH2:64][C:7]([CH3:6])([CH3:8])[CH2:9][CH2:10]5)[CH2:55][CH2:54]4)[cH:53][c:42]3[O:43][c:44]3[cH:45][n:46][c:47]4[nH:48][cH:49][cH:50][c:51]4[cH:52]3)=[O:22])(=[O:25])=[O:26])[cH:41][c:37]2[N+:38](=[O:39])[O-:40])[CH2:36]1,,"[('b', 9, 544)]",1299,train,1
4,[CH3:9][CH2:10][O:11][c:12]1[cH:13][cH:14][c:15]([O:16][c:17]2[n:18][cH:19][n:20][c:21]3[c:22]2[cH:23][n:24][n:25]3[CH:26]2[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]2)[c:32]([F:33])[cH:34]1.Cl[C:1](=[O:2])[O:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1,[C:1](=[O:2])([O:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)[N:29]1[CH2:28][CH2:27][CH:26]([n:25]2[c:21]3[n:20][cH:19][n:18][c:17]([O:16][c:15]4[cH:14][cH:13][c:12]([O:11][CH2:10][CH3:9])[cH:34][c:32]4[F:33])[c:22]3[cH:23][n:24]2)[CH2:31][CH2:30]1,,"[('b', 15, 546)]",2537,train,1
5,Br[c:1]1[n:2]([CH3:3])[cH:4][n:5][c:6]1-[c:7]1[cH:8][c:9]([C:10]#[N:11])[cH:12][cH:13][n:14]1.OB(O)[c:15]1[cH:16][cH:17][c:18](-[n:19]2[cH:20][cH:21][cH:22][n:23]2)[cH:24][cH:25]1,[c:1]1(-[c:15]2[cH:16][cH:17][c:18](-[n:19]3[cH:20][cH:21][cH:22][n:23]3)[cH:24][cH:25]2)[n:2]([CH3:3])[cH:4][n:5][c:6]1-[c:7]1[cH:8][c:9]([C:10]#[N:11])[cH:12][cH:13][n:14]1,,"[('b', 0, 541)]",900,train,1
6,CC1(C)OB([c:16]2[cH:17][cH:18][c:19]([O:20][CH2:21][c:22]3[cH:23][cH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]4[n:31]3)[cH:32][cH:33]2)OC1(C)C.Br[c:1]1[c:2]([O:3][CH:4]2[CH2:5][CH2:6][CH2:7][CH2:8][O:9]2)[cH:10][cH:11][c:12]([C:13]#[N:14])[cH:15]1,[c:1]1(-[c:16]2[cH:17][cH:18][c:19]([O:20][CH2:21][c:22]3[cH:23][cH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]4[n:31]3)[cH:32][cH:33]2)[c:2]([O:3][CH:4]2[CH2:5][CH2:6][CH2:7][CH2:8][O:9]2)[cH:10][cH:11][c:12]([C:13]#[N:14])[cH:15]1,,"[('b', 0, 532)]",452,train,1
7,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([O-:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]([OH:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([O-:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2,,"[('b', 12, 537), ('b', 13, 537)]",573,train,1
8,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10].[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[NH:18][NH2:19],[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10])[NH:19][NH:18][C:16]([O:15][C:12]([CH3:11])([CH3:13])[CH3:14])=[O:17],,"[('b', 19, 547)]",4537,train,1
9,Br[CH2:1][c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[CH3:20][CH2:21][O:22][P:23](=[O:24])([CH2:25][OH:26])[O:27][CH2:28][CH3:29],[CH2:1]([c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:26][CH2:25][P:23]([O:22][CH2:21][CH3:20])(=[O:24])[O:27][CH2:28][CH3:29],,"[('b', 37, 542)]",924,train,1
