,Template,Frequency,Class
0,[I:1]>>C-N-[C@@H]1-C-C-[C@@H](-c2:c:c:c(-Cl):c(-Cl):c:2)-c2:c:c:c(-[I:1]):c:c:2-1_-1_0_0,1,1
1,[C:1]-[P:3]=[O:2]>>I-[C:1].C-C-[O:2]-[P:3]_000_000_000,1,2
2,[C:1]>>O=C(-[C:1])-O-C-c1:c:c:c:c:c:1_-1_0_2,1,3
3,[O:3].[C:1]=[C:2]>>[C:1].O=[C:2].C-C-C(=O)-[O:3]_20-1_000_000,1,4
4,[n:1]>>O=C(-[n:1])-O-C-c1:c:c:c:c:c:1_-1_0_0,1,5
5,[O:1]>>C-C(-C)-C(-C)(-C)-[Si](-C)(-C)-[O:1]_-1_0_0,1,6
6,[C:1]-[O:2]>>C-C(-O-[C:1]=[O:2])-C(-C)=O_-2-1_00_00,1,7
7,[C:1]-[O:2]>>C-C-O-C(=O)-O-[C:1]=[O:2]_-2-1_00_00,1,8
8,[S:1]>>C-N(-C)-C(=O)-[S:1]_-1_0_0,1,9
9,[C:1]>>F-[C:1]_-1_0_1,1,10
10,[C:1].[C:2]=[C:3]>>O=[c:1].[c:2]:[c:3]_-200_000_000,1,11
11,[C:1]>>Br-[C:1]_-1_0_2,1,12
12,[C:1]=[O:2]>>C-C-C-C-O-[C:1]-[O:2]-C-C-C-C_00_00_00,1,13
13,[C:1]>>O=[c:1]_-2_0_0,1,14
14,[O:1]>>O-C-C(=O)-N1-C-C-C(-C(=O)-[O:1])-C-C-1_-1_0_0,1,15
15,[C:1]=[O:2]>>C-C1(-C)-C-O-[C:1]-[O:2]-C-1_00_00_00,1,16
16,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-C(-C)-[O:2]-[P:3]_000_000_000,1,17
17,[C:1]>>C=C-C-O-C(=O)-[C:1]_-1_0_0,1,18
18,[N:1]>>N-[N:1]_-1_0_0,1,19
19,[O:1]>>C-O-c1:c:c:c2:c:c(-[C@@H](-C)-C(=O)-[O:1]):c:c:c:2:c:1_-1_0_0,1,20
20,[Br:1]>>C-C(=O)-[Br:1]_-1_0_0,1,21
21,[O:3].[C:1]=[C:2]>>[C:1].O=[C:2].C-C(=O)-[O:3]_20-1_000_000,1,22
22,[O:1]>>C-C(=O)-O-[C@H](-C(=O)-[O:1])-c1:c:c:c:c:c:1_-1_0_0,1,23
23,[O:1]>>Cl-c1:c:c:c(-c2:n:c3:c:c:c:n:c:3:n:2-C-C(=O)-[O:1]):c:c:1-Cl_-1_0_0,1,24
24,[C:3]=[C:4]-[O:5]-[P:2]=[O:1]>>C-C-[O:1]-[P:2].Cl-[C:3]-[C:4]=[O:5]_00000_00000_00000,1,25
25,[O:1]>>O-C(=O)/C=C/C=C/C=C/C=C/C(=O)-[O:1]_-1_0_0,1,26
26,[O:1]>>C-C-C-C-C-C-C-O-c1:c:c:c(-C(=O)-[O:1]):c:c:1_-1_0_0,1,27
27,[O:1]>>C-O-c1:c:c:c(-C(=O)-[O:1]):c:c:1_-1_0_0,1,28
28,[O:1]>>C-C-C-C-C(=O)-[O:1]_-1_0_0,1,29
29,[c:1]-[P:3]=[O:2]>>Br-[c:1].C-[O:2]-[P:3]_000_000_000,1,30
30,[O:1]>>F-C(-F)(-F)-C(=O)-[O:1]_-1_0_0,1,31
31,[S:1]>>C-C1(-C(=O)-[S:1])-C-C-C-C-C-1_-1_0_0,1,32
32,[O:1]>>Br-C-C-C-C-C(=O)-[O:1]_-1_0_0,1,33
33,[O:1]>>C-O-C(=O)-C-C-C(=O)-[O:1]_-1_0_0,1,34
34,[O:1].[C:2]-[O:3]>>[O:1]-[C:2]=[O:3]_-1-2-1_000_000,1,35
35,[O:1]>>Cl-c1:c:c:c:c(-C(=O)-[O:1]):c:1_-1_0_0,1,36
36,[C:1]-[O:2]>>C-C(-C)-O-[C:1]=[O:2]_-2-1_00_00,1,37
37,[O:1]>>Cl-C-C(=O)-[O:1]_-1_0_0,2,38
