,Template,Frequency,Class
0,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C-O-[C:2]_10_00_00,1,1
1,[Sn:1]-[c:2]>>[Sn:1].Br-[c:2]_10_00_00,1,2
2,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,3
3,[c:1]-[Cl:2]>>O-[c:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_00,1,4
4,[N:1]-[C:2]>>[N:1].C-C(-C)-C-O-[C:2]_10_00_00,1,5
5,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_02,1,6
6,[c:1]-[c:2]>>Br-[c:1].C-C1-O-B(-[c:2])-O-C-1-C_00_00_00,1,7
7,[C:1]-[C:2]>>I-[C:1].I-[C:2]_00_00_00,1,8
8,[c:1]-[c:2]>>Cl-[c:1].Cl-[c:2]_00_00_00,1,9
9,[N:1]-[C:2]>>[N:1].C-C-O-C(=O)-O-[C:2]_10_00_00,1,10
10,[C:1]-[C:2]-[C:3]=[N:4]>>[c:1]:[c:2]:[c:3]:[n:4]_-1-100_0000_0000,1,11
11,[C:1]1-[C:2]-[N:3]-[C:4]-[C:5]-[N:6]-1>>[c:1]1:[c:2]:[n:3]:[c:4]:[c:5]:[n:6]:1_-1-1-1-1-1-1_000000_000000,1,12
12,[C:1]-[P:3]=[O:2]>>I-[C:1].C-C-[O:2]-[P:3]_000_000_000,1,13
13,[c:1]1:[c:2]:[o:5]:[n:4]:[c:3]:1>>[C:1]#[C:2].[C:3]=[N:4]/[O:5]_00101_00000_00000,1,14
14,[N:1]-[C:2]>>[N:1].C-C-C-O-[C:2]_10_00_00,1,15
15,[N:1]-[C:2]>>[N:1].C-C(-Cl)-O-[C:2]_10_00_00,1,16
16,[C:1]=[C:2]>>O=[C:1].C-[P+](-C)(-C)-[C:2]_01_00_00,1,17
17,[O:1]-[c:2]>>[O:1].I-[c:2]_00_-10_00,1,18
18,[N:2]-[C:3]-[C:4]-[c:1]>>[c:1].[N:2].C-O-[C:3]-[C:4]_1101_0000_0000,1,19
19,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C-C-C-C-O-[C:2]_10_00_00,1,20
20,[c:1]-[C:3]-[n:2]>>[c:1].[n:2].O=[C:3]_110_000_000,1,21
21,[c:5]1:[c:4]:[n:3]:[c:2]:[n:1]:[c:6]:1>>[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O_201010_000000_000000,1,22
22,[C:1]-[C:2]>>[C:1]-[Mg+].Br-[C:2]_00_00_00,1,23
23,[c:1]-[c:2]>>Br-[c:1].[c:2]-B1-O-C-C-N(-c2:c:c:c:c:c:2)-C-C-O-1_00_00_00,1,24
24,[c:1]-[C:2]>>Cl-[c:1].C=C-B1-O-B(-[C:2])-O-B(-C=C)-O-1_00_00_00,1,25
25,[O:3].[C:1]=[C:2]>>[C:1].O=[C:2].C-C-C(=O)-[O:3]_20-1_000_000,1,26
26,[c:1]-[c:2]>>I-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,1,27
27,[C:1]-[C:2]-[N:3]=[C:4]>>[c:1]:[c:2]:[n:3]:[c:4]_-1-100_0000_0000,1,28
28,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,29
29,[C:1]-[c:2]>>Cl-[C:1].Cl-[c:2]_00_00_00,1,30
30,[o:1]:[c:2]>>[O:1].Cl-[c:2]_10_00_00,1,31
31,[N:1]-[C:2]>>[N:1].Cl-C(-F)(-F)-C(=O)-O-[C:2]_10_00_00,1,32
32,[N:1]-[C:2]>>[N:1].O=C(-O-[C:2])-O-C-c1:c:c:c:c:c:1_10_00_00,1,33
33,[c:4]-[N:2]-[C:3]=[O:1]>>[O:1]-[N:2]=[C:3]-[c:4]_1-100_0000_0000,1,34
34,[c:5]1:[n:6]:[c:3]:[c:2]:[c:1]:[n:4]:1>>O=[C:1]-[C:2].C-O-[C:3](-O-C)-N(-C)-C.[N:4]-[C:5]=[N:6]_020201_000000_000000,1,35
35,[N:1]-[C:2]>>[N:1].Cl-C(-Cl)(-Cl)-O-[C:2]_10_00_00,1,36
36,[N:1]-[C:2]>>[N:1].O-B(-O)-[C:2]_10_00_00,1,37
37,[N:1]-[C:2]>>[N:1].Br-[C:2]_10_00_02,1,38
38,[C:1]1-[C:3]-[C:2]-1>>[C:1]=[C:2].C-[S+](-C)(=O)-[C:3]_001_000_000,1,39
39,[c:1]-[C:2]>>Br-[c:1].C-C1-C-C(-C)(-C)-O-B(-[C:2])-O-1_00_00_00,1,40
40,[c:1]:[c:3]:[c:4]:[c:5]:[n:2]>>[c:1].[N:2].C-C-O-[C:3]-[C:4]-[C:5]=O_11010_00000_00000,1,41
41,[c:1]-[C:2]-[O:3]>>Br-[c:1].[C:2]=[O:3]_00-1_000_000,1,42
42,[c:1]-[C:2]>>Br-[c:1].C-C(-C)-O-B(-[C:2])-O-C(-C)-C_00_00_00,1,43
43,[C:1]-[C:2]>>[C:1].C-S(=O)(=O)-O-[C:2]_00_-10_01,1,44
44,[C:1]-[C:2]>>[C:1]-[Cu].Cl-[C:2]_00_00_00,1,45
45,[c:1]-[C:2]>>Cl-[c:1].C-N(-C)-[C:2]_00_00_00,1,46
46,[c:2]1:[c:3]:[n:5]:[n:4]:[n:1]:1>>[N:1].[C:2]#[C:3].C-[Si](-C)(-C)-N=[N:4]=[N:5]_20000_0001-1_00000,1,47
47,[N:1]-[C:2]>>[N:1].C=C1-C-N-C(-O-[C:2])-O-1_10_00_00,1,48
48,[c:1]-[Sn:2]>>[c:1].[Br]-[Sn:2]_10_00_00,1,49
49,[C:1]-[C:2]>>O-B(-O)-[C:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,1,50
50,[C:1]-[S:3]=[O:2]>>I-[C:1].[O:2]-[S:3]_010_000_000,1,51
51,[C:3]-[C:4](-[N:1])-[C:2](-[C:5])-[C:6]>>[N:1].O=[C:2](-[C:3])-[C:4](-[C:5])-[C:6]_1-10000_000000_000000,1,52
52,[O:1]=[P:2]>>C-C-C-C-C(-Cl)=[O:1].O-c1:c:c:c(-[N+](=O)-[O-]):c:c:1-C-[P:2]_00_01_00,1,53
53,[O:1]-[C:2]>>[O:1].C-S(=O)(=O)-O-[C:2]_00_-10_02,1,54
54,[C:9]-[C:3](-[N:7])-[C:5]-[C:11].[C:1]-[C:10]-[C:8](-[N:4])-[C:2]-[C:6]>>[C:1]-[C:2]-[C:3](-[N:4])-[C:5]-[C:6].C-C(-C)(-C)-O-C(=O)-[N:7]-[C:8](-[C:9])-[C:10]-[C:11]_000000-10000_00000000000_00000001000,1,55
55,[C:6]-[N:11]-[C:18](-[C:10])-[C:8]-[N:7]-[C:12].[C:1]-[C:17]-[C:9](-[N:4]-[C:3]1-[C:2]-[C:15]-[O:16]-[C:14]-[C:13]-1-[O:19])-[C:5]>>[C:1]-[C:2]-[C:3](-[N:4])-[C:5].[C:6]-[N:7]-[C:8]-[C:9](-[C:10])-[N:11]-[C:12].O=[C:13]1-[C:14]-[C:15]-[O:16]-[C:17]-[C:18]-1-[O:19]_000100000000-1000000_0000000000000000000_0010000000000000000,1,56
56,[c:1]-[c:2]>>Br-[c:1].[Br]-[Zn]-[c:2]_00_00_00,1,57
57,[c:4]1:[n:5]:[c:1]:[c:2]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10200_00000_00000,1,58
