mol_idx,edit_type,site_idx,n_depths_used,entropy_mean,entropy_std,entropy_range
0,b,20,6,3.6013721227645874,0.35741377353971737,0.8660476207733154
1,b,15,6,3.8820927937825522,0.4432311954321836,1.0735254287719727
2,b,52,6,4.11060643196106,0.25415673181137344,0.5855960845947266
3,b,22,6,3.5956141153971353,0.5667812524024203,1.5671486854553223
4,b,3,6,3.8404695987701416,0.2399008903025208,0.6041440963745117
5,b,18,6,3.166042447090149,0.19844330692270284,0.5395607948303223
6,b,34,6,3.8535224994023642,0.4789404025350594,1.2902705669403076
7,b,13,6,3.3624451955159507,0.2920707859349258,0.7246832847595215
8,b,12,6,3.1030571858088174,0.2390645093873204,0.5770444869995117
9,b,17,6,4.201968868573506,0.3045875693283592,0.8081498146057129
10,b,3,6,3.9807772239049277,0.3615667127788308,0.8696620464324951
11,b,23,6,3.5398144324620566,0.2327835255234362,0.6092574596405029
12,b,22,6,3.729432463645935,0.31688978964336423,0.8184871673583984
13,b,16,6,3.492842157681783,0.2849157703654705,0.7839815616607666
14,b,1,6,3.3941605488459268,0.16884080380735197,0.39986538887023926
15,b,14,6,3.7254247268040976,0.3297026331809766,0.8301608562469482
16,b,8,6,3.5491960843404136,0.4252127531889482,1.0960822105407715
17,a,39,6,4.689132531483968,0.15916985203995643,0.40944957733154297
18,b,17,6,3.4109878540039062,0.38693452718291776,0.9305436611175537
19,b,7,6,3.851174553235372,0.4294341180919203,1.0896148681640625
20,b,16,6,4.16989250977834,0.402719971226902,1.04841947555542
21,b,70,6,3.966642181078593,0.6181413635909805,1.6088547706604004
22,b,21,6,3.546977957089742,0.4652161581978185,1.2415134906768799
23,b,11,6,3.325260361035665,0.308727751097032,0.7503411769866943
24,b,15,6,3.916802485783895,0.3607189349324165,0.8473641872406006
25,b,13,6,4.038533051808675,0.3992310898692002,1.1290695667266846
26,b,11,6,3.7173054615656533,0.36398320026917347,0.9543263912200928
27,b,10,6,4.250808040301005,0.29492741144520457,0.7196874618530273
28,b,7,6,3.5265873670578003,0.3789087701994809,0.9753074645996094
29,b,18,6,3.3719946146011353,0.2562108201985519,0.6719670295715332
30,b,9,6,3.8111743927001953,0.4263924604337301,0.945652961730957
31,b,11,6,3.8143840630849204,0.353984052179429,0.9535646438598633
32,a,12,6,3.518524686495463,0.20026436561267336,0.5168883800506592
33,a,0,6,4.201567927996318,0.15335436871195315,0.42609715461730957
34,b,44,6,3.964561144510905,0.5009894399360408,1.275266408920288
35,b,0,6,3.5133458773295083,0.37831542145180713,0.972630500793457
36,a,11,6,3.532086451848348,0.2283456452914668,0.5287504196166992
37,b,0,6,3.730063796043396,0.40260617580818897,0.9702253341674805
38,b,29,6,4.312608440717061,0.47724947761278347,1.2081577777862549
39,b,14,6,3.2561026414235434,0.2508915367263765,0.6664578914642334
40,b,23,6,3.587122082710266,0.3679878158475151,0.8471379280090332
41,b,16,6,3.0971126556396484,0.3061370225303353,0.7089023590087891
42,b,19,6,4.218443711598714,0.4961183870396438,1.2301812171936035
43,b,11,6,4.292654673258464,0.3104611385342236,0.8656501770019531
44,b,31,6,4.011703252792358,0.4986036967121115,1.1948046684265137
45,b,25,6,3.9396504163742065,0.28860567571343587,0.7107565402984619
46,a,11,6,4.166781465212504,0.3099611566875859,0.7575130462646484
47,b,22,6,4.263237436612447,0.4745167306337297,1.2619905471801758
48,b,27,6,3.7868699630101523,0.3166772710633189,0.7630355358123779
49,b,10,6,3.560832420984904,0.3422128934458,0.8890626430511475
50,b,18,6,4.196146607398987,0.35348035761100255,0.8771491050720215
51,b,9,6,3.4286321798960366,0.38721741290382294,0.8854050636291504
52,b,4,6,4.54602034886678,0.3606824285568467,0.9298949241638184
53,b,19,6,3.840565284093221,0.325517666274642,0.7703967094421387
54,b,8,6,3.562112728754679,0.32739498158838687,0.8175954818725586
55,b,31,6,4.053734381993611,0.4650747894875569,1.153508186340332
56,b,23,6,4.193295915921529,0.39431796143688436,0.9801108837127686
57,b,0,6,3.107661008834839,0.3228693884990279,0.7358636856079102
58,b,24,6,3.960404396057129,0.39246741308289773,1.0481252670288086
59,b,14,6,3.571314295132955,0.3425842468204057,0.8068606853485107
60,b,21,6,3.4064151446024575,0.35205317935617203,0.9448778629302979
61,b,8,6,4.28844690322876,0.287335343817455,0.7435269355773926
62,b,18,6,3.550297657648722,0.3905133622646407,0.9681613445281982
63,a,18,6,4.14144750436147,0.26132100960014554,0.6013071537017822
64,b,15,6,3.49509064356486,0.5403464330334107,1.3495664596557617
65,b,17,6,4.021364808082581,0.41010340060158024,1.0000121593475342
66,b,45,6,4.205291310946147,0.37213138876678487,0.9273355007171631
67,a,12,6,3.783115347226461,0.13830098487778764,0.3333282470703125
68,b,11,6,4.084965229034424,0.38942668298080985,1.0319328308105469
69,b,27,6,3.9190592765808105,0.36315743683617413,0.8721628189086914
70,b,22,6,4.307000120480855,0.44542224094024835,1.1006639003753662
71,b,7,6,4.43430773417155,0.336167821490989,0.8594827651977539
72,b,72,6,4.18458624680837,0.5186280857569616,1.3563802242279053
73,b,10,6,4.22631307442983,0.32367734759891287,0.7445104122161865
74,b,13,6,3.5088833967844644,0.26356257404025285,0.6610653400421143
75,b,0,6,3.053135712941488,0.21991121418150186,0.516303539276123
76,b,64,6,4.501477241516113,0.3951279078682525,1.033867359161377
77,b,37,6,4.033058921496074,0.5051234089408845,1.1421937942504883
78,a,13,6,3.7549050649007163,0.31693053497084367,0.8231716156005859
79,b,61,6,4.569487015406291,0.39095542755802337,0.9613075256347656
80,b,19,6,3.831618547439575,0.40842721847053337,1.0469794273376465
81,b,28,6,4.066527406374614,0.3472280265245437,0.8986153602600098
82,b,14,6,3.2814190785090127,0.517085063875848,1.1977112293243408
83,b,7,6,3.610948363939921,0.4006619913432996,0.9709968566894531
84,b,5,6,3.249623656272888,0.18333147227030916,0.44405436515808105
85,b,51,6,4.2141075531641645,0.43578680145663695,1.0595884323120117
86,b,10,6,3.712622324625651,0.4361079653024317,1.0997560024261475
87,b,33,6,3.9731167554855347,0.41234320675630726,1.1245553493499756
88,a,0,6,3.1589795351028442,0.10317890541020788,0.26485729217529297
89,b,14,6,3.0596845944722495,0.31794717306473114,0.7972226142883301
90,b,59,6,4.318568587303162,0.3935572752758313,1.0484535694122314
91,b,22,6,3.2841272354125977,0.3954742671428645,0.9798266887664795
92,b,10,6,4.141041556994121,0.32937183447831564,0.8237457275390625
93,a,17,6,4.34893536567688,0.26132285943911315,0.5864343643188477
94,a,3,6,3.854398767153422,0.1438679149272399,0.3258936405181885
95,b,64,6,5.140226284662883,0.14570435255947728,0.34955453872680664
96,b,39,6,4.15471076965332,0.3832018820203717,1.076613187789917
97,b,32,6,4.019631544748942,0.3658907473486606,0.9944226741790771
98,b,21,6,4.147745688756307,0.3583995440473285,0.948361873626709
99,b,25,6,4.3484106461207075,0.2464582346781817,0.7180740833282471
100,b,14,6,4.092300335566203,0.3658326111187538,0.9810786247253418
101,b,12,6,3.659121870994568,0.3179886490129781,0.8300199508666992
102,b,28,6,3.937913656234741,0.31221173354149456,0.7895936965942383
103,b,24,6,3.295416831970215,0.4455675343594999,1.0532748699188232
104,b,10,6,3.3675814072291055,0.27031134723603034,0.6405434608459473
105,b,52,6,4.375260869661967,0.3935568637761738,1.0162577629089355
106,b,20,6,3.6635502179463706,0.29215097816932417,0.7642219066619873
107,b,14,6,3.958418329556783,0.32580864175510416,0.838447093963623
108,b,42,6,3.879448135693868,0.5336783487802725,1.2616190910339355
109,b,24,6,3.4914610385894775,0.3249216526863786,0.7689523696899414
110,b,44,6,4.249465147654216,0.45151831435032347,1.0889697074890137
111,b,9,6,3.3837472597757974,0.23938655720497473,0.6071910858154297
112,b,21,6,4.277221282323201,0.3096200904249296,0.8149876594543457
113,b,3,6,4.10086989402771,0.34891648581562756,0.979180097579956
114,b,25,6,4.175567547480266,0.3772101267006865,0.9920649528503418
115,b,16,6,3.6399912436803183,0.47509015275572725,1.1276345252990723
116,b,8,6,3.4945733149846396,0.26753648338938446,0.6560282707214355
117,b,21,6,4.2067774931589765,0.3958398562718834,0.9762227535247803
118,b,16,6,3.6354239781697593,0.26900186024427464,0.7324342727661133
119,b,22,6,4.38665239016215,0.3532971818822532,0.9364199638366699
120,b,3,6,3.990428328514099,0.5308917846235546,1.3047511577606201
121,b,40,6,3.8138774633407593,0.3471400339877889,0.871701717376709
122,b,3,6,3.7616020838419595,0.3647887410237051,0.9555439949035645
123,b,22,6,4.081288854281108,0.5600419796159121,1.3816792964935303
124,b,1,6,3.9961660305658975,0.3732730117345899,0.9849903583526611
125,b,30,6,3.9615395863850913,0.4539151457992001,1.1951625347137451
126,b,13,6,3.433513124783834,0.2895213607805647,0.7334403991699219
127,b,38,6,4.20852514108022,0.40010538611663815,1.0491979122161865
128,b,4,6,3.6594046354293823,0.215450947517227,0.6024954319000244
129,b,13,6,4.273473024368286,0.4379374915731782,1.1450364589691162
130,b,5,6,3.3099797566731772,0.4397019802594712,1.0796618461608887
131,a,17,6,4.011502385139465,0.24072719945767848,0.5586895942687988
132,a,1,6,4.029290358225505,0.21033107766730136,0.4978797435760498
133,b,23,6,3.771971861521403,0.297477385543284,0.7696514129638672
134,b,5,6,4.087843736012776,0.39513812737190257,0.9398455619812012
135,a,0,6,3.40225613117218,0.13375707301059458,0.3638432025909424
136,b,8,6,3.9050319592158,0.3247184637725176,0.8383667469024658
137,b,34,6,3.915741801261902,0.6685947654148693,1.678109884262085
138,a,9,6,3.2053234577178955,0.43052114182261614,1.0206234455108643
139,b,16,6,4.351676384607951,0.2530626147976127,0.6282134056091309
140,b,18,6,3.752020517985026,0.2882279406938435,0.6894760131835938
141,b,18,6,3.41886568069458,0.503064132703335,1.3422434329986572
142,b,5,6,3.0501888593037925,0.44274793587493394,1.0901217460632324
143,b,13,6,4.018680771191915,0.431620849629045,1.1456105709075928
144,b,2,6,3.4068647623062134,0.36732383965718296,0.9320952892303467
145,b,40,6,4.409985701243083,0.3428092249089183,0.9708719253540039
146,a,18,6,3.8310368061065674,0.19261355175702938,0.5005381107330322
147,b,33,6,4.100284059842427,0.47980076727226767,1.2897627353668213
148,b,16,6,3.2543892860412598,0.485345040950727,1.204070806503296
