subset,signal,n,auroc,ci_low,ci_high
overall,1 - top_score (baseline),5007,0.7103749247997705,0.6954600847102961,0.7244598126813409
overall,1 - mean_top_score (MC avg),5007,0.7062538881481875,0.6918135598779674,0.720429508701985
overall,std_top_score (MC dropout),5007,0.5446248894020053,0.5295072298068351,0.5600568439887602
overall,1 - agreement_rate (MC),5007,0.6419864424957699,0.6275392770871517,0.6565761506560309
overall,predictive_entropy (MC),5007,0.5922044510847733,0.5759615186182935,0.6076891065207634
1) very rare (1-5),1 - top_score (baseline),100,0.4638888888888889,0.23578362573099412,0.709478777589134
1) very rare (1-5),1 - mean_top_score (MC avg),100,0.49777777777777776,0.28997222222222224,0.7160395948967004
1) very rare (1-5),std_top_score (MC dropout),100,0.7288888888888889,0.5668133837488677,0.8709759794391908
1) very rare (1-5),1 - agreement_rate (MC),100,0.35,0.15364493327572962,0.5638300588963988
1) very rare (1-5),predictive_entropy (MC),100,0.6055555555555555,0.41381344696969696,0.7857380952380952
2) rare (6-20),1 - top_score (baseline),176,0.7413194444444444,0.6306971252042484,0.8415849830272807
2) rare (6-20),1 - mean_top_score (MC avg),176,0.738498263888889,0.6300939260112648,0.8376900793383011
2) rare (6-20),std_top_score (MC dropout),176,0.44856770833333337,0.3154352293928636,0.5808538040649478
2) rare (6-20),1 - agreement_rate (MC),176,0.4140625,0.3117899264408388,0.5240167481063616
2) rare (6-20),predictive_entropy (MC),176,0.5579427083333333,0.4325533661740558,0.682121329049935
3) common (21-100),1 - top_score (baseline),486,0.6871850705441982,0.6360653508578237,0.7387325404221156
3) common (21-100),1 - mean_top_score (MC avg),486,0.6885977541030809,0.6381869005584354,0.7399509011000945
3) common (21-100),std_top_score (MC dropout),486,0.44006442556867265,0.3850729579040854,0.49561386536724084
3) common (21-100),1 - agreement_rate (MC),486,0.5167182551108552,0.46576543349963895,0.5651122238415774
3) common (21-100),predictive_entropy (MC),486,0.6173607112006909,0.5656697162446516,0.6679813123525439
4) very common (100+),1 - top_score (baseline),4245,0.7082095977948535,0.6921236199984452,0.7231996438586237
4) very common (100+),1 - mean_top_score (MC avg),4245,0.7037259708079397,0.6878958214502034,0.718829697429289
4) very common (100+),std_top_score (MC dropout),4245,0.541815126629884,0.5250526272615347,0.558432276131987
4) very common (100+),1 - agreement_rate (MC),4245,0.6511267986451923,0.6363129426750124,0.665513755263726
4) very common (100+),predictive_entropy (MC),4245,0.5987591060736797,0.5821241063830145,0.6157607884226117
