mol_idx,top_score,uq,pred_top1,true_reactants,error,ensemble_mean_score,ensemble_std_score,ensemble_uq
0,0.771,0.2289999999999999,CC(=O)c1ccc2[nH]ccc2c1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[CH3:8][C:9](=[O:10])[c:11]1[cH:12][cH:13][c:14]2[nH:15][cH:16][cH:17][c:18]2[cH:19]1,0,0.80225,0.13132283693250005,0.19774999999999998
1,0.381,0.619,CC(C)(C)OC(=O)N1C[C@@H](O)[C@H]2OC[C@H](O)[C@H]21.Cc1ccc(S(=O)(=O)Cl)cc1,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[CH3:8][c:9]1[cH:10][cH:11][c:12]([S:13](=[O:14])(=[O:15])[O:16][C@@H:17]2[CH2:18][NH:19][C@H:20]3[C@@H:21]2[O:22][CH2:23][C@@H:24]3[OH:25])[cH:26][cH:27]1,1,0.48124999999999996,0.1366279162543292,0.51875
2,0.884,0.1159999999999999,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OC)cc2)c1C.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[n:8][n:9](-[c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][c:16]2[Cl:17])[c:18](-[c:19]2[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]2)[c:27]1[CH3:28],0,0.9047499999999999,0.034346579160085204,0.09525000000000006
3,0.746,0.254,CC(C)(C)OC(=O)Nc1nc2c(Br)cc(C#N)cc2s1.O=[N+]([O-])c1cccc(B(O)O)c1,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[N:8]#[C:9][c:10]1[cH:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][c:17]([N+:18](=[O:19])[O-:20])[cH:21]2)[c:22]2[n:23][c:24]([NH2:25])[s:26][c:27]2[cH:28]1,1,0.67825,0.04844262069706799,0.32175
4,0.709,0.291,NCc1ccccc1S(=O)(=O)C1CC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,O=C(O[C:1](=[O:2])[C:3]([F:4])([F:5])[F:6])C(F)(F)F.[NH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[S:15](=[O:16])(=[O:17])[CH:18]1[CH2:19][CH2:20]1,0,0.6107499999999999,0.0821960309260733,0.3892500000000001
5,0.488,0.512,C/C=C/C(=O)O[Si](C)(C)C.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2]/[CH:3]=[CH:4]/[C:5](=[O:6])[O:7][Si:8]([CH3:9])([CH3:10])[CH3:11],0,0.67225,0.17970305367466632,0.32775
6,0.84,0.16,CC(C)(C)OC(=O)N1CCc2oc3c(Cl)cc(Sc4ccccc4)cc3c2C1.O=C(OO)c1cccc(Cl)c1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7](=[O:8])[N:9]1[CH2:10][CH2:11][c:12]2[o:13][c:14]3[c:15]([Cl:16])[cH:17][c:18]([S:19][c:20]4[cH:21][cH:22][cH:23][cH:24][cH:25]4)[cH:26][c:27]3[c:28]2[CH2:29]1,0,0.7474999999999999,0.06884221088837864,0.25250000000000006
7,0.814,0.186,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[O:8]=[CH:9][c:10]1[cH:11][nH:12][cH:13][n:14]1,0,0.74725,0.058100666949700314,0.25275000000000003
8,0.954,0.046,Cc1cnc(Cl)cc1Cl.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][c:3]1[cH:4][n:5][c:6]([Cl:7])[cH:8][c:9]1[Cl:10],0,0.9592499999999999,0.00481534007106456,0.040750000000000064
9,0.559,0.4409999999999999,COc1nc2ccc(C(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,[CH3:1][O:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([CH:9]([OH:10])[c:11]3[cH:12][n:13][n:14][n:15]3[CH3:16])[cH:17][c:18]2[c:19]([Cl:20])[c:21]1[CH2:22][c:23]1[cH:24][cH:25][c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1,0,0.41000000000000003,0.10454424900490704,0.59
10,0.625,0.375,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,[CH3:1][c:2]1[cH:3][c:4](/[CH:5]=[CH:6]/[C:7]([F:8])([F:9])[F:10])[cH:11][cH:12][c:13]1[C:14](=[O:15])[NH:16][c:17]1[cH:18][cH:19][c:20]2[s:21][c:22]([CH:23]([CH3:24])[OH:25])[n:26][c:27]2[cH:28]1,0,0.45949999999999996,0.10153447690316823,0.5405
11,0.184,0.8160000000000001,CCOC(=O)C1CCC(=O)CC1.OCCO,O[CH2:1][CH2:2][OH:3].[CH3:4][CH2:5][O:6][C:7](=[O:8])[CH:9]1[CH2:10][CH2:11][C:12](=[O:13])[CH2:14][CH2:15]1,0,0.24825000000000003,0.061336673369200595,0.7517499999999999
12,0.499,0.501,CCCCc1ncc(C(C)=O)[nH]1.Clc1ccccc1CBr,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[n:6][cH:7][c:8]([CH:9]([CH3:10])[OH:11])[n:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[Cl:20],1,0.66725,0.09991590213774783,0.33275
13,0.942,0.058,CC1(c2cc3cccnc3[nH]2)CC1.O=C(OO)c1cccc(Cl)c1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][C:3]1([c:4]2[cH:5][c:6]3[cH:7][cH:8][cH:9][n:10][c:11]3[nH:12]2)[CH2:13][CH2:14]1,0,0.74925,0.12719940054890194,0.25075000000000003
14,0.33,0.6699999999999999,O=[N+]([O-])c1cc(CO)ccc1F,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]([CH2:7][OH:8])[cH:9][cH:10][c:11]1[F:12],0,0.30825,0.05999322878458869,0.69175
15,0.302,0.698,C#Cc1cccc(C)n1.Cn1nccc1-c1ccc(I)cc1,Br[c:1]1[cH:2][cH:3][c:4](-[c:5]2[n:6]([CH3:7])[n:8][cH:9][cH:10]2)[cH:11][cH:12]1.C[Si](C)(C)[C:13]#[C:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH3:20])[n:21]1,1,0.283,0.09469160469650939,0.7170000000000001
16,0.682,0.3179999999999999,Nc1ccc(Br)cc1[N+](=O)[O-].OB(O)c1c(F)cccc1C(F)(F)F,Br[c:1]1[c:2]([F:3])[cH:4][cH:5][cH:6][c:7]1[C:8]([F:9])([F:10])[F:11].CC1(C)OB([c:12]2[cH:13][cH:14][c:15]([NH2:16])[c:17]([N+:18](=[O:19])[O-:20])[cH:21]2)OC1(C)C,1,0.704,0.057510868538042444,0.29600000000000004
