mol_idx,top_score,uq,pred_top1,true_reactants,error
0,0.061,0.9390000000000001,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1nnco1.CCOC(=O)c1sc(Cl)nc1Cl,O=[C:5]([NH:4][NH:3][CH:2]=[O:1])[c:6]1[c:7]([C:8]([O:9][CH2:10][CH3:11])=[O:12])[s:13][c:14]([Cl:15])[n:16]1,1
1,0.28,0.72,CCOC(=O)c1sc(N)nc1Br.N#Cc1cccc(B(O)O)c1,O=[C:1]([CH:2](Br)[C:3]([O:4][CH2:5][CH3:6])=[O:7])[c:8]1[cH:9][cH:10][cH:11][c:12]([C:13]#[N:14])[cH:15]1.[NH2:16][C:17]([NH2:18])=[S:19],1
2,0.513,0.487,N.O=C(O)c1cccc2[nH]c(C(F)(F)Cl)nc12,O=[C:1](O)[C:2]([F:3])([F:4])[Cl:5].[NH2:6][C:7](=[O:8])[c:9]1[cH:10][cH:11][cH:12][c:13]([NH2:14])[c:15]1[NH2:16],1
3,0.243,0.757,BrCC1CO1.CC(C)(C)OC(=O)N1CCC(=O)CC1,O=C(O[OH:1])c1cccc(Cl)c1.[CH2:2]=[CH:3][CH2:4][C:5]1([OH:6])[CH2:7][CH2:8][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:17][CH2:18]1,1
4,0.052,0.948,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COc1cccc2ccc(-c3nnc4ccc([C@@H](N5CC[C@H](NCCF)C5)C(F)(F)F)cn34)nc12,O=[CH:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][c:9]([O:10][CH3:11])[c:12]2[n:13]1.[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19](=[O:20])[N:21]([CH2:22][CH2:23][F:24])[C@H:25]1[CH2:26][CH2:27][N:28]([C@H:29]([c:30]2[cH:31][cH:32][c:33]([NH:34][NH2:35])[n:36][cH:37]2)[C:38]([F:39])([F:40])[F:41])[CH2:42]1,1
5,0.5,0.5,CCCCS(=O)(=O)Cl.NC1Cc2ccc(-c3ccc(=O)n(Cc4nnn[nH]4)n3)cc2C1,[CH3:1][CH2:2][CH2:3][CH2:4][S:5](=[O:6])(=[O:7])[NH:8][CH:9]1[CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[n:16][n:17]([CH2:18][C:19]#[N:20])[c:21](=[O:22])[cH:23][cH:24]3)[cH:25][c:26]2[CH2:27]1.[N-:28]=[N+:29]=[N-:30],1
6,0.193,0.8069999999999999,Cc1ccccc1-n1nc(C(F)(F)F)cc1B(O)O.O=C1COc2ccc(Br)cc2N1,O=[C:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[NH:8][C:9](=[O:10])[CH2:11][O:12]2)[CH2:13][C:14](=O)[C:15]([F:16])([F:17])[F:18].[CH3:19][c:20]1[cH:21][cH:22][cH:23][cH:24][c:25]1[NH:26][NH2:27],1
7,0.451,0.5489999999999999,CC1(C)OC1C(=O)O.NCc1ccccc1[N+](=O)[O-],O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][C:3]([CH3:4])=[CH:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[N+:16](=[O:17])[O-:18],1
8,0.147,0.853,CC(=O)OCc1nn(-c2ccc(C#N)c(NC3CCC(=O)CC3)c2)c2c1C(=O)CC(C)(C)C2,O=[C:1]([CH2:2][O:3][C:4]([CH3:5])=[O:6])[CH:7]1[C:8](=O)[CH2:9][C:10]([CH3:11])([CH3:12])[CH2:13][C:14]1=[O:15].[N:16]#[C:17][c:18]1[cH:19][cH:20][c:21]([NH:22][NH2:23])[cH:24][c:25]1[NH:26][CH:27]1[CH2:28][CH2:29][CH:30]([OH:31])[CH2:32][CH2:33]1,1
9,0.143,0.857,CCSc1nc2c(C)ccnc2[nH]1.Clc1cc(-c2nnn[nH]2)n(-c2ccc(CBr)cc2)c1,[CH3:1][CH2:2][S:3][c:4]1[n:5][c:6]2[c:7]([CH3:8])[cH:9][cH:10][n:11][c:12]2[n:13]1[CH2:14][c:15]1[cH:16][cH:17][c:18](-[n:19]2[cH:20][c:21]([Cl:22])[cH:23][c:24]2[C:25]#[N:26])[cH:27][cH:28]1.[N-:29]=[N+:30]=[N-:31],1
10,0.15,0.85,CCOC(=O)c1[nH]c2ccccc2c1C(=O)c1ccccc1,N[NH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.O=[C:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[CH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,1
11,0.294,0.706,CCC1(CCCl)OCCc2cc(OC)c(OC)cc21.CN1CCNCC1,O=[C:1]([CH2:2][CH3:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][N:9]([CH3:10])[CH2:11][CH2:12]1.[CH3:13][O:14][c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][OH:21])[cH:22][c:23]1[O:24][CH3:25],1
