mol_idx,frequency,bucket,uq,top_score,error
0,42,3) common (21-100),0.22899999999999998,0.771,0
1,323,4) very common (100+),0.619,0.381,1
2,157,4) very common (100+),0.11599999999999999,0.884,0
3,323,4) very common (100+),0.254,0.746,1
4,76,3) common (21-100),0.29100000000000004,0.709,0
5,157,4) very common (100+),0.512,0.488,0
6,109,4) very common (100+),0.16000000000000003,0.84,0
7,42,3) common (21-100),0.18600000000000005,0.814,0
8,157,4) very common (100+),0.04600000000000004,0.954,0
9,413,4) very common (100+),0.44099999999999995,0.559,0
10,413,4) very common (100+),0.375,0.625,0
11,47,3) common (21-100),0.8160000000000001,0.184,0
12,413,4) very common (100+),0.501,0.499,1
13,41,3) common (21-100),0.05800000000000005,0.942,0
14,413,4) very common (100+),0.6699999999999999,0.33,0
15,6,2) rare (6-20),0.698,0.302,1
16,452,4) very common (100+),0.31799999999999995,0.682,1
17,88,3) common (21-100),0.637,0.363,1
18,8,2) rare (6-20),0.9,0.1,1
19,452,4) very common (100+),0.795,0.205,1
20,48,3) common (21-100),0.478,0.522,0
21,142,4) very common (100+),0.732,0.268,1
22,15,2) rare (6-20),0.6890000000000001,0.311,1
23,900,4) very common (100+),0.685,0.315,0
24,452,4) very common (100+),0.833,0.167,0
25,900,4) very common (100+),0.46699999999999997,0.533,0
26,452,4) very common (100+),0.833,0.167,0
27,265,4) very common (100+),0.736,0.264,1
28,146,4) very common (100+),0.688,0.312,1
29,157,4) very common (100+),0.41500000000000004,0.585,0
30,452,4) very common (100+),0.486,0.514,1
31,900,4) very common (100+),0.30300000000000005,0.697,0
32,1277,4) very common (100+),0.14400000000000002,0.856,0
33,1277,4) very common (100+),0.10699999999999998,0.893,0
34,1277,4) very common (100+),0.395,0.605,1
35,573,4) very common (100+),0.41500000000000004,0.585,1
36,1277,4) very common (100+),0.125,0.875,0
37,573,4) very common (100+),0.358,0.642,0
38,212,4) very common (100+),0.5509999999999999,0.449,1
39,157,4) very common (100+),0.06299999999999994,0.937,0
40,442,4) very common (100+),0.07899999999999996,0.921,0
41,41,3) common (21-100),0.031000000000000028,0.969,0
42,4537,4) very common (100+),0.31899999999999995,0.681,0
43,955,4) very common (100+),0.42200000000000004,0.578,1
44,2537,4) very common (100+),0.596,0.404,1
45,43,3) common (21-100),0.515,0.485,1
46,1299,4) very common (100+),0.844,0.156,1
47,287,4) very common (100+),0.827,0.173,1
48,452,4) very common (100+),0.518,0.482,0
49,1916,4) very common (100+),0.402,0.598,0
50,258,4) very common (100+),0.392,0.608,1
51,28,3) common (21-100),0.6970000000000001,0.303,1
52,4537,4) very common (100+),0.31000000000000005,0.69,1
53,265,4) very common (100+),0.401,0.599,0
54,1916,4) very common (100+),0.482,0.518,0
55,1299,4) very common (100+),0.119,0.881,1
56,4537,4) very common (100+),0.08599999999999997,0.914,1
57,573,4) very common (100+),0.05500000000000005,0.945,0
58,258,4) very common (100+),0.79,0.21,1
59,433,4) very common (100+),0.673,0.327,1
60,955,4) very common (100+),0.505,0.495,1
61,4537,4) very common (100+),0.257,0.743,0
62,828,4) very common (100+),0.136,0.864,0
63,7,2) rare (6-20),0.7030000000000001,0.297,1
64,2537,4) very common (100+),0.5920000000000001,0.408,1
65,4537,4) very common (100+),0.5369999999999999,0.463,1
66,42,3) common (21-100),0.30400000000000005,0.696,1
67,1916,4) very common (100+),0.503,0.497,1
68,924,4) very common (100+),0.5760000000000001,0.424,1
69,4537,4) very common (100+),0.6659999999999999,0.334,1
70,782,4) very common (100+),0.17300000000000004,0.827,0
71,4537,4) very common (100+),0.43700000000000006,0.563,1
72,56,3) common (21-100),0.5469999999999999,0.453,1
73,955,4) very common (100+),0.7030000000000001,0.297,1
74,2537,4) very common (100+),0.08799999999999997,0.912,0
75,40,3) common (21-100),0.46699999999999997,0.533,1
76,4537,4) very common (100+),0.383,0.617,0
77,804,4) very common (100+),0.698,0.302,0
78,1277,4) very common (100+),0.10299999999999998,0.897,0
79,900,4) very common (100+),0.484,0.516,1
80,1916,4) very common (100+),0.29900000000000004,0.701,0
81,119,4) very common (100+),0.708,0.292,1
82,924,4) very common (100+),0.15100000000000002,0.849,0
83,264,4) very common (100+),0.44399999999999995,0.556,0
84,174,4) very common (100+),0.32299999999999995,0.677,0
85,2537,4) very common (100+),0.601,0.399,1
86,2537,4) very common (100+),0.34099999999999997,0.659,1
87,2,1) very rare (1-5),0.765,0.235,0
88,1277,4) very common (100+),0.16000000000000003,0.84,0
89,413,4) very common (100+),0.33599999999999997,0.664,1
90,4537,4) very common (100+),0.394,0.606,0
91,40,3) common (21-100),0.579,0.421,1
92,287,4) very common (100+),0.581,0.419,0
93,235,4) very common (100+),0.737,0.263,1
94,196,4) very common (100+),0.61,0.39,0
95,924,4) very common (100+),0.11299999999999999,0.887,1
96,804,4) very common (100+),0.261,0.739,0
97,1299,4) very common (100+),0.22399999999999998,0.776,0
98,446,4) very common (100+),0.0040000000000000036,0.996,0
99,2537,4) very common (100+),0.20999999999999996,0.79,1
100,4537,4) very common (100+),0.22399999999999998,0.776,0
101,782,4) very common (100+),0.09499999999999997,0.905,0
102,782,4) very common (100+),0.667,0.333,0
103,433,4) very common (100+),0.742,0.258,1
104,782,4) very common (100+),0.365,0.635,0
105,2537,4) very common (100+),0.723,0.277,1
106,28,3) common (21-100),0.876,0.124,1
107,900,4) very common (100+),0.399,0.601,0
108,31,3) common (21-100),0.594,0.406,1
109,924,4) very common (100+),0.629,0.371,0
110,566,4) very common (100+),0.031000000000000028,0.969,0
111,782,4) very common (100+),0.18700000000000006,0.813,0
112,264,4) very common (100+),0.041000000000000036,0.959,0
113,119,4) very common (100+),0.22999999999999998,0.77,1
114,174,4) very common (100+),0.623,0.377,1
115,6,2) rare (6-20),0.585,0.415,1
116,4537,4) very common (100+),0.29200000000000004,0.708,0
117,452,4) very common (100+),0.30900000000000005,0.691,0
118,1299,4) very common (100+),0.855,0.145,0
119,4537,4) very common (100+),0.43300000000000005,0.567,0
120,4537,4) very common (100+),0.556,0.444,0
121,924,4) very common (100+),0.611,0.389,1
122,1,1) very rare (1-5),0.992,0.008,1
123,828,4) very common (100+),0.351,0.649,0
124,142,4) very common (100+),0.534,0.466,0
125,1299,4) very common (100+),0.43600000000000005,0.564,0
126,323,4) very common (100+),0.6619999999999999,0.338,0
127,2537,4) very common (100+),0.6819999999999999,0.318,0
128,433,4) very common (100+),0.625,0.375,1
129,782,4) very common (100+),0.493,0.507,1
130,955,4) very common (100+),0.482,0.518,0
131,1277,4) very common (100+),0.08999999999999997,0.91,0
