mol_idx,edit_type,site_idx,template_id,exact_match,template_match,error
0,b,20,468,0,1,0
1,b,15,527,0,0,1
2,b,52,512,0,1,0
3,b,22,541,0,0,1
4,b,3,494,0,1,0
5,b,18,512,0,1,0
6,b,34,505,0,1,0
7,b,13,468,1,1,0
8,b,12,512,0,1,0
9,b,17,529,1,1,0
10,b,3,529,0,1,0
11,b,23,475,0,1,0
12,b,22,534,0,0,1
13,b,16,466,0,1,0
14,b,1,529,0,1,0
15,b,14,516,0,0,1
16,b,8,541,0,0,1
17,a,39,113,0,0,1
18,b,17,529,0,0,1
19,b,7,534,0,0,1
20,b,16,476,0,1,0
21,b,70,541,0,0,1
22,b,21,441,0,0,1
23,b,11,541,0,1,0
24,b,15,532,0,1,0
25,b,13,541,0,1,0
26,b,11,532,0,1,0
27,b,10,434,0,0,1
28,b,7,541,0,0,1
29,b,18,512,0,1,0
30,b,9,536,0,0,1
31,b,11,541,0,1,0
32,a,12,122,0,1,0
33,a,0,122,1,1,0
34,b,44,541,0,0,1
35,b,0,511,0,0,1
36,a,11,122,0,1,0
37,b,0,537,1,1,0
38,b,29,547,0,0,1
39,b,14,512,0,1,0
40,b,23,530,0,1,0
41,b,16,466,0,1,0
42,b,19,547,0,1,0
43,b,11,547,0,0,1
44,b,31,543,0,0,1
45,b,25,495,0,0,1
46,a,11,120,0,0,1
47,b,22,547,0,0,1
48,b,27,533,0,1,0
49,b,10,545,0,1,0
50,b,18,547,0,0,1
51,b,9,517,0,0,1
52,b,4,547,0,1,1
53,b,19,521,0,1,0
54,b,8,545,0,1,0
55,b,31,544,1,1,1
56,b,23,547,0,1,1
57,b,0,537,1,1,0
58,b,24,547,0,0,1
59,b,14,537,0,0,1
60,b,21,544,1,0,1
61,b,8,547,0,1,0
62,b,18,540,0,1,0
63,a,18,117,0,0,1
64,b,15,541,0,0,1
65,b,17,546,0,0,1
66,b,45,547,0,0,1
67,a,12,123,0,0,1
68,b,11,533,0,0,1
69,b,27,547,0,1,1
70,b,22,538,0,1,0
71,b,7,546,0,0,1
72,b,72,541,0,0,1
73,b,10,533,0,0,1
74,b,13,546,1,1,0
75,b,0,529,1,0,1
76,b,64,547,0,1,0
77,b,37,539,0,1,0
78,a,13,122,0,1,0
79,b,61,547,0,0,1
80,b,19,545,0,1,0
81,b,28,544,0,0,1
82,b,14,542,0,1,0
83,b,7,520,1,1,0
84,b,5,514,1,1,0
85,b,51,544,0,0,1
