nohup: ignoring input
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
../models/LocalRetro_USPTO_50K.pth exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?Traceback (most recent call last):
  File "/workspace/LocalRetro/scripts/Train.py", line 95, in <module>
    main(args)
  File "/workspace/LocalRetro/scripts/Train.py", line 60, in main
    model, loss_criterion, optimizer, scheduler, stopper = load_model(args)   
  File "/workspace/LocalRetro/scripts/utils.py", line 102, in load_model
    user_answer = input('%s exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?' % args['model_path'])
OSError: [Errno 9] Bad file descriptor
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
Loading previously saved dgl graphs...

epoch 1/50, batch 1/2501, loss 5.7716
epoch 1/50, batch 21/2501, loss 0.8315
epoch 1/50, batch 41/2501, loss 0.1853
epoch 1/50, batch 61/2501, loss 0.1592
epoch 1/50, batch 81/2501, loss 0.1296
epoch 1/50, batch 101/2501, loss 0.1790
epoch 1/50, batch 121/2501, loss 0.1377
epoch 1/50, batch 141/2501, loss 0.1121
epoch 1/50, batch 161/2501, loss 0.1171
epoch 1/50, batch 181/2501, loss 0.1394
epoch 1/50, batch 201/2501, loss 0.1157
epoch 1/50, batch 221/2501, loss 0.1667
epoch 1/50, batch 241/2501, loss 0.1264
epoch 1/50, batch 261/2501, loss 0.1224
epoch 1/50, batch 281/2501, loss 0.1108
epoch 1/50, batch 301/2501, loss 0.1048
epoch 1/50, batch 321/2501, loss 0.0958
epoch 1/50, batch 341/2501, loss 0.1287
epoch 1/50, batch 361/2501, loss 0.1089
epoch 1/50, batch 381/2501, loss 0.0817
epoch 1/50, batch 401/2501, loss 0.1044
epoch 1/50, batch 421/2501, loss 0.1173
epoch 1/50, batch 441/2501, loss 0.1147
epoch 1/50, batch 461/2501, loss 0.0893
epoch 1/50, batch 481/2501, loss 0.1053
epoch 1/50, batch 501/2501, loss 0.0840
epoch 1/50, batch 521/2501, loss 0.1059
epoch 1/50, batch 541/2501, loss 0.0846
epoch 1/50, batch 561/2501, loss 0.0921
epoch 1/50, batch 581/2501, loss 0.1007
epoch 1/50, batch 601/2501, loss 0.0856
epoch 1/50, batch 621/2501, loss 0.0913
epoch 1/50, batch 641/2501, loss 0.1006
epoch 1/50, batch 661/2501, loss 0.1059
epoch 1/50, batch 681/2501, loss 0.0843
epoch 1/50, batch 701/2501, loss 0.0873
epoch 1/50, batch 721/2501, loss 0.0757
epoch 1/50, batch 741/2501, loss 0.1192
epoch 1/50, batch 761/2501, loss 0.0844
epoch 1/50, batch 781/2501, loss 0.0761
epoch 1/50, batch 801/2501, loss 0.1043
epoch 1/50, batch 821/2501, loss 0.0879
epoch 1/50, batch 841/2501, loss 0.0733
epoch 1/50, batch 861/2501, loss 0.0819
epoch 1/50, batch 881/2501, loss 0.0721
epoch 1/50, batch 901/2501, loss 0.0693
epoch 1/50, batch 921/2501, loss 0.0840
epoch 1/50, batch 941/2501, loss 0.1166
epoch 1/50, batch 961/2501, loss 0.0548
epoch 1/50, batch 981/2501, loss 0.0741
epoch 1/50, batch 1001/2501, loss 0.0622
epoch 1/50, batch 1021/2501, loss 0.0668
epoch 1/50, batch 1041/2501, loss 0.0996
epoch 1/50, batch 1061/2501, loss 0.0601
epoch 1/50, batch 1081/2501, loss 0.0993
epoch 1/50, batch 1101/2501, loss 0.0914
epoch 1/50, batch 1121/2501, loss 0.0869
epoch 1/50, batch 1141/2501, loss 0.1056
epoch 1/50, batch 1161/2501, loss 0.0615
epoch 1/50, batch 1181/2501, loss 0.0635
epoch 1/50, batch 1201/2501, loss 0.0946
epoch 1/50, batch 1221/2501, loss 0.0717
epoch 1/50, batch 1241/2501, loss 0.0829
epoch 1/50, batch 1261/2501, loss 0.1061
epoch 1/50, batch 1281/2501, loss 0.1010
epoch 1/50, batch 1301/2501, loss 0.1007
epoch 1/50, batch 1321/2501, loss 0.0798
epoch 1/50, batch 1341/2501, loss 0.0721
epoch 1/50, batch 1361/2501, loss 0.0613
epoch 1/50, batch 1381/2501, loss 0.0536
epoch 1/50, batch 1401/2501, loss 0.0683
epoch 1/50, batch 1421/2501, loss 0.0467
epoch 1/50, batch 1441/2501, loss 0.0540
epoch 1/50, batch 1461/2501, loss 0.0646
epoch 1/50, batch 1481/2501, loss 0.0572
epoch 1/50, batch 1501/2501, loss 0.0589
epoch 1/50, batch 1521/2501, loss 0.0650
epoch 1/50, batch 1541/2501, loss 0.0574
epoch 1/50, batch 1561/2501, loss 0.0644
epoch 1/50, batch 1581/2501, loss 0.0672
epoch 1/50, batch 1601/2501, loss 0.0577
epoch 1/50, batch 1621/2501, loss 0.0684
epoch 1/50, batch 1641/2501, loss 0.1008
epoch 1/50, batch 1661/2501, loss 0.0985
epoch 1/50, batch 1681/2501, loss 0.0698
epoch 1/50, batch 1701/2501, loss 0.0720
epoch 1/50, batch 1721/2501, loss 0.0633
epoch 1/50, batch 1741/2501, loss 0.0500
epoch 1/50, batch 1761/2501, loss 0.0567
epoch 1/50, batch 1781/2501, loss 0.0577
epoch 1/50, batch 1801/2501, loss 0.0792
epoch 1/50, batch 1821/2501, loss 0.0392
epoch 1/50, batch 1841/2501, loss 0.0445
epoch 1/50, batch 1861/2501, loss 0.0446
epoch 1/50, batch 1881/2501, loss 0.0529
epoch 1/50, batch 1901/2501, loss 0.0753
epoch 1/50, batch 1921/2501, loss 0.0731
epoch 1/50, batch 1941/2501, loss 0.0512
epoch 1/50, batch 1961/2501, loss 0.0706
epoch 1/50, batch 1981/2501, loss 0.0597
epoch 1/50, batch 2001/2501, loss 0.0448
epoch 1/50, batch 2021/2501, loss 0.0527
epoch 1/50, batch 2041/2501, loss 0.0641
epoch 1/50, batch 2061/2501, loss 0.0485
epoch 1/50, batch 2081/2501, loss 0.0789
epoch 1/50, batch 2101/2501, loss 0.0443
epoch 1/50, batch 2121/2501, loss 0.0506
epoch 1/50, batch 2141/2501, loss 0.0662
