mol_idx,top_score,uq,error,frequency,tier
0,0.78936136,0.21063864,0,74,3) common (21-100)
1,0.062047724,0.9379523,0,0,1) very rare (1-5)
2,0.58253306,0.41746694,0,74,3) common (21-100)
3,0.06016365,0.9398363,1,0,1) very rare (1-5)
4,0.1738687,0.8261313,1,0,1) very rare (1-5)
5,0.63492274,0.36507726,0,7,2) rare (6-20)
6,0.46638414,0.5336158,0,2,1) very rare (1-5)
7,0.7056917,0.2943083,0,23,3) common (21-100)
8,0.5476564,0.45234358,1,4,1) very rare (1-5)
9,0.04658721,0.9534128,1,0,1) very rare (1-5)
10,0.032432843,0.96756715,1,0,1) very rare (1-5)
11,0.8783201,0.1216799,0,3,1) very rare (1-5)
12,0.05181654,0.9481835,1,0,1) very rare (1-5)
13,0.70621294,0.29378706,1,0,1) very rare (1-5)
14,0.9092779,0.090722084,0,1,1) very rare (1-5)
15,0.54933906,0.45066094,1,6,2) rare (6-20)
16,0.41431817,0.5856818,0,5,1) very rare (1-5)
17,0.9449542,0.055045784,0,74,3) common (21-100)
18,0.8756501,0.12434989,1,2,1) very rare (1-5)
19,0.9215349,0.078465104,0,3,1) very rare (1-5)
20,0.104585685,0.8954143,1,0,1) very rare (1-5)
21,0.8089629,0.19103712,0,74,3) common (21-100)
22,0.1682741,0.8317259,1,0,1) very rare (1-5)
23,0.620654,0.379346,1,14,2) rare (6-20)
24,0.65835434,0.34164566,0,108,4) very common (100+)
25,0.38391137,0.6160886,1,145,4) very common (100+)
26,0.3413839,0.65861607,1,7,2) rare (6-20)
27,0.15795779,0.8420422,1,20,2) rare (6-20)
28,0.19014826,0.80985177,0,10,2) rare (6-20)
29,0.22919402,0.77080595,1,0,1) very rare (1-5)
30,0.54868394,0.45131606,0,7,2) rare (6-20)
31,0.62194604,0.37805396,1,43,3) common (21-100)
32,0.2502068,0.7497932,0,1,1) very rare (1-5)
33,0.8689345,0.13106549,0,6,2) rare (6-20)
34,0.14084142,0.8591586,1,31,3) common (21-100)
35,0.1993116,0.8006884,1,0,1) very rare (1-5)
36,0.20136647,0.7986335,1,0,1) very rare (1-5)
37,0.7823587,0.2176413,1,3,1) very rare (1-5)
38,0.26039037,0.7396096,1,2,1) very rare (1-5)
39,0.431434,0.56856596,0,84,3) common (21-100)
40,0.062697515,0.9373025,1,0,1) very rare (1-5)
41,0.09295233,0.9070477,1,0,1) very rare (1-5)
42,0.18113662,0.8188634,1,2,1) very rare (1-5)
43,0.645103,0.35489702,0,3,1) very rare (1-5)
44,0.062164847,0.93783516,0,1,1) very rare (1-5)
45,0.7657604,0.23423958,1,0,1) very rare (1-5)
46,0.77796036,0.22203964,0,36,3) common (21-100)
47,0.29692936,0.70307064,0,3,1) very rare (1-5)
48,0.0528091,0.9471909,1,1,1) very rare (1-5)
49,0.0640641,0.9359359,1,0,1) very rare (1-5)
50,0.15888132,0.8411187,1,8,2) rare (6-20)
51,0.8960955,0.103904486,1,2,1) very rare (1-5)
52,0.6968874,0.30311263,1,5,1) very rare (1-5)
53,0.39634117,0.6036588,1,44,3) common (21-100)
54,0.04807105,0.951929,1,0,1) very rare (1-5)
55,0.056339286,0.94366074,1,3,1) very rare (1-5)
56,0.6181381,0.38186193,1,1,1) very rare (1-5)
57,0.4778729,0.5221271,0,274,4) very common (100+)
58,0.06498058,0.93501943,1,14,2) rare (6-20)
59,0.6153066,0.38469338,1,2,1) very rare (1-5)
60,0.22742249,0.7725775,0,1,1) very rare (1-5)
61,0.62220347,0.37779653,1,2,1) very rare (1-5)
62,0.7645924,0.23540759,1,123,4) very common (100+)
63,0.19874437,0.80125564,1,1,1) very rare (1-5)
64,0.5678155,0.43218452,1,30,3) common (21-100)
65,0.98037463,0.019625366,0,15,2) rare (6-20)
66,0.67424566,0.32575434,0,6,2) rare (6-20)
67,0.4506266,0.5493734,1,13,2) rare (6-20)
68,0.9908427,0.0091573,0,274,4) very common (100+)
69,0.168253,0.831747,1,0,1) very rare (1-5)
70,0.42515722,0.5748428,0,5,1) very rare (1-5)
71,0.17982173,0.8201783,0,14,2) rare (6-20)
72,0.40356687,0.59643316,1,2,1) very rare (1-5)
73,0.18241054,0.81758946,1,142,4) very common (100+)
74,0.10129981,0.8987002,1,0,1) very rare (1-5)
75,0.13364735,0.8663527,1,81,3) common (21-100)
76,0.29732755,0.7026725,1,30,3) common (21-100)
77,0.71532744,0.28467256,1,4,1) very rare (1-5)
78,0.1803604,0.81963956,0,2,1) very rare (1-5)
79,0.7000941,0.2999059,1,1070,4) very common (100+)
80,0.87569207,0.12430793,1,1,1) very rare (1-5)
81,0.05674751,0.9432525,1,0,1) very rare (1-5)
82,0.053296346,0.9467037,1,3,1) very rare (1-5)
83,0.87999815,0.12000185,1,1290,4) very common (100+)
84,0.1870602,0.81293976,1,1,1) very rare (1-5)
85,0.7380853,0.26191467,1,19,2) rare (6-20)
86,0.5843569,0.4156431,0,75,3) common (21-100)
87,0.01780088,0.98219913,1,24,3) common (21-100)
88,0.29714835,0.70285165,1,0,1) very rare (1-5)
89,0.327897,0.672103,0,106,4) very common (100+)
90,0.33511576,0.6648842,0,81,3) common (21-100)
91,0.3747604,0.6252396,0,2,1) very rare (1-5)
92,0.16931446,0.83068556,1,6,2) rare (6-20)
93,0.96335644,0.036643565,1,146,4) very common (100+)
94,0.91017926,0.08982074,1,3,1) very rare (1-5)
95,0.9040927,0.09590727,0,1290,4) very common (100+)
96,0.1017156,0.8982844,1,26,3) common (21-100)
97,0.104080595,0.8959194,0,15,2) rare (6-20)
98,0.16255616,0.8374438,1,107,4) very common (100+)
99,0.83737206,0.16262794,1,1070,4) very common (100+)
100,0.54787487,0.45212513,0,96,3) common (21-100)
101,0.23194464,0.7680554,1,1,1) very rare (1-5)
102,0.86693287,0.13306713,0,118,4) very common (100+)
103,0.5320262,0.46797383,0,0,1) very rare (1-5)
104,0.8813135,0.1186865,1,54,3) common (21-100)
105,0.8621792,0.13782078,0,1290,4) very common (100+)
106,0.99706215,0.0029378533,0,89,3) common (21-100)
107,0.083733685,0.9162663,1,20,2) rare (6-20)
108,0.910779,0.089221,0,66,3) common (21-100)
109,0.3510959,0.6489041,0,9,2) rare (6-20)
110,0.9935098,0.006490171,1,89,3) common (21-100)
111,0.439555,0.560445,1,16,2) rare (6-20)
112,0.073659815,0.92634016,1,0,1) very rare (1-5)
113,0.3945052,0.6054948,0,43,3) common (21-100)
114,0.10129206,0.8987079,1,111,4) very common (100+)
115,0.8961464,0.10385358,0,145,4) very common (100+)
116,0.0140620675,0.98593795,1,1,1) very rare (1-5)
117,0.93058866,0.06941134,0,70,3) common (21-100)
118,0.52591914,0.47408086,0,94,3) common (21-100)
119,0.6928751,0.3071249,0,123,4) very common (100+)
120,0.14683965,0.8531604,0,33,3) common (21-100)
121,0.515865,0.48413497,1,0,1) very rare (1-5)
122,0.5361442,0.4638558,1,0,1) very rare (1-5)
123,0.96795326,0.032046735,0,700,4) very common (100+)
124,0.7336119,0.26638812,1,37,3) common (21-100)
125,0.42285356,0.5771464,0,52,3) common (21-100)
126,0.197401,0.802599,1,0,1) very rare (1-5)
127,0.16929641,0.8307036,1,2,1) very rare (1-5)
128,0.058146052,0.94185394,1,0,1) very rare (1-5)
129,0.8568782,0.14312178,0,106,4) very common (100+)
130,0.9049637,0.09503633,1,11,2) rare (6-20)
131,0.33614206,0.66385794,1,2,1) very rare (1-5)
132,0.92447513,0.07552487,0,6,2) rare (6-20)
133,0.6680028,0.33199722,0,1,1) very rare (1-5)
134,0.99280214,0.007197857,0,274,4) very common (100+)
135,0.1439154,0.8560846,1,0,1) very rare (1-5)
136,0.8915589,0.108441114,0,78,3) common (21-100)
137,0.757859,0.24214101,1,0,1) very rare (1-5)
138,0.46944577,0.53055423,0,1290,4) very common (100+)
139,0.6832995,0.31670052,1,1070,4) very common (100+)
