mol_idx,top_score,uq,error,frequency,tier
0,0.9352515,0.064748526,0,74,3) common (21-100)
1,0.22641666,0.77358335,0,0,1) very rare (1-5)
2,0.83074236,0.16925764,0,74,3) common (21-100)
3,0.16736875,0.83263123,1,0,1) very rare (1-5)
4,0.072041854,0.92795813,1,0,1) very rare (1-5)
5,0.58427376,0.41572624,0,7,2) rare (6-20)
6,0.55770224,0.44229776,0,2,1) very rare (1-5)
7,0.812602,0.18739802,0,23,3) common (21-100)
8,0.6971888,0.3028112,1,4,1) very rare (1-5)
9,0.028285239,0.97171474,1,0,1) very rare (1-5)
10,0.04520195,0.95479804,1,0,1) very rare (1-5)
11,0.58254325,0.41745675,0,3,1) very rare (1-5)
12,0.05001002,0.94999,1,0,1) very rare (1-5)
13,0.81874514,0.18125486,1,0,1) very rare (1-5)
14,0.78735405,0.21264595,0,1,1) very rare (1-5)
15,0.2884783,0.7115217,1,6,2) rare (6-20)
16,0.34366018,0.6563398,0,5,1) very rare (1-5)
17,0.91346306,0.086536944,0,74,3) common (21-100)
18,0.8520078,0.1479922,1,2,1) very rare (1-5)
19,0.84766096,0.15233904,0,3,1) very rare (1-5)
20,0.061667882,0.93833214,1,0,1) very rare (1-5)
21,0.72957146,0.27042854,0,74,3) common (21-100)
22,0.13258748,0.8674125,1,0,1) very rare (1-5)
23,0.6075993,0.39240068,1,14,2) rare (6-20)
24,0.859005,0.14099503,0,108,4) very common (100+)
25,0.5442937,0.4557063,1,145,4) very common (100+)
26,0.09536088,0.9046391,1,7,2) rare (6-20)
27,0.1478284,0.8521716,1,20,2) rare (6-20)
28,0.12385844,0.87614155,0,10,2) rare (6-20)
29,0.35797003,0.64203,1,0,1) very rare (1-5)
30,0.3449551,0.6550449,0,7,2) rare (6-20)
31,0.6731026,0.32689738,1,43,3) common (21-100)
32,0.28955826,0.7104417,0,1,1) very rare (1-5)
33,0.8658715,0.13412851,0,6,2) rare (6-20)
34,0.22258744,0.77741253,1,31,3) common (21-100)
35,0.07283675,0.92716324,1,0,1) very rare (1-5)
36,0.16475756,0.83524245,1,0,1) very rare (1-5)
37,0.760364,0.239636,1,3,1) very rare (1-5)
38,0.20685546,0.7931445,1,2,1) very rare (1-5)
39,0.49198696,0.508013,0,84,3) common (21-100)
40,0.10012276,0.89987725,1,0,1) very rare (1-5)
41,0.061444033,0.93855596,1,0,1) very rare (1-5)
42,0.21880835,0.78119165,0,2,1) very rare (1-5)
43,0.2885833,0.7114167,0,3,1) very rare (1-5)
44,0.05499082,0.9450092,0,1,1) very rare (1-5)
45,0.7112438,0.2887562,1,0,1) very rare (1-5)
46,0.4759342,0.5240658,0,36,3) common (21-100)
47,0.6152317,0.3847683,0,3,1) very rare (1-5)
48,0.026868666,0.97313136,1,1,1) very rare (1-5)
49,0.07789908,0.9221009,1,0,1) very rare (1-5)
50,0.085768275,0.9142317,1,8,2) rare (6-20)
51,0.9118957,0.08810431,1,2,1) very rare (1-5)
52,0.73957103,0.26042897,1,5,1) very rare (1-5)
53,0.23937337,0.7606266,1,44,3) common (21-100)
54,0.04749669,0.9525033,1,0,1) very rare (1-5)
55,0.07933255,0.92066747,1,3,1) very rare (1-5)
56,0.670667,0.329333,1,1,1) very rare (1-5)
57,0.549302,0.45069802,0,274,4) very common (100+)
58,0.091803044,0.9081969,1,14,2) rare (6-20)
59,0.53572506,0.46427494,1,2,1) very rare (1-5)
60,0.19073349,0.8092665,0,1,1) very rare (1-5)
61,0.4989331,0.5010669,1,2,1) very rare (1-5)
62,0.27494943,0.72505057,1,123,4) very common (100+)
63,0.11522462,0.8847754,1,1,1) very rare (1-5)
64,0.40966496,0.590335,1,30,3) common (21-100)
65,0.9737526,0.026247382,0,15,2) rare (6-20)
66,0.7396236,0.2603764,0,6,2) rare (6-20)
67,0.6211312,0.37886882,1,13,2) rare (6-20)
68,0.99485767,0.005142331,0,274,4) very common (100+)
69,0.07914717,0.92085284,1,0,1) very rare (1-5)
70,0.81906164,0.18093836,0,5,1) very rare (1-5)
71,0.5726529,0.42734712,0,14,2) rare (6-20)
72,0.3386807,0.66131926,1,2,1) very rare (1-5)
73,0.21265222,0.7873478,1,142,4) very common (100+)
74,0.08336468,0.91663533,1,0,1) very rare (1-5)
75,0.14668241,0.8533176,1,81,3) common (21-100)
76,0.26185814,0.7381419,1,30,3) common (21-100)
77,0.729379,0.270621,1,4,1) very rare (1-5)
78,0.15245931,0.8475407,0,2,1) very rare (1-5)
79,0.7887293,0.21127069,1,1070,4) very common (100+)
80,0.77652353,0.22347647,1,1,1) very rare (1-5)
81,0.1944133,0.8055867,1,0,1) very rare (1-5)
82,0.050441332,0.9495587,1,3,1) very rare (1-5)
83,0.95388305,0.046116948,1,1290,4) very common (100+)
84,0.2738026,0.72619736,1,1,1) very rare (1-5)
85,0.3743408,0.6256592,1,19,2) rare (6-20)
86,0.5215525,0.4784475,0,75,3) common (21-100)
87,0.008160864,0.9918391,1,24,3) common (21-100)
88,0.16616897,0.833831,1,0,1) very rare (1-5)
89,0.46877506,0.53122497,0,106,4) very common (100+)
90,0.3849216,0.6150784,0,81,3) common (21-100)
91,0.43315434,0.56684566,0,2,1) very rare (1-5)
92,0.13282748,0.86717254,1,6,2) rare (6-20)
93,0.87289214,0.12710786,1,146,4) very common (100+)
94,0.93524367,0.064756334,1,3,1) very rare (1-5)
95,0.9776298,0.02237022,0,1290,4) very common (100+)
96,0.054220762,0.94577926,1,26,3) common (21-100)
97,0.05431574,0.94568425,1,15,2) rare (6-20)
98,0.16504002,0.83496,1,107,4) very common (100+)
99,0.8845751,0.11542487,1,1070,4) very common (100+)
100,0.46314248,0.5368575,0,96,3) common (21-100)
101,0.22691153,0.77308846,1,1,1) very rare (1-5)
102,0.63673836,0.36326164,0,118,4) very common (100+)
103,0.49903768,0.5009623,0,0,1) very rare (1-5)
104,0.82458454,0.17541546,1,54,3) common (21-100)
105,0.8683401,0.13165992,0,1290,4) very common (100+)
106,0.99505436,0.004945636,0,89,3) common (21-100)
107,0.08871829,0.9112817,1,20,2) rare (6-20)
108,0.95193875,0.04806125,0,66,3) common (21-100)
109,0.419331,0.580669,0,9,2) rare (6-20)
110,0.98724,0.012759984,1,89,3) common (21-100)
111,0.43140152,0.5685985,1,16,2) rare (6-20)
112,0.054315053,0.94568497,1,0,1) very rare (1-5)
113,0.32733148,0.6726685,0,43,3) common (21-100)
114,0.10649372,0.8935063,1,111,4) very common (100+)
115,0.64153534,0.35846466,0,145,4) very common (100+)
116,0.043171614,0.95682836,1,1,1) very rare (1-5)
117,0.90706366,0.09293634,0,70,3) common (21-100)
118,0.484119,0.515881,0,94,3) common (21-100)
119,0.9494763,0.0505237,0,123,4) very common (100+)
120,0.36781368,0.6321863,0,33,3) common (21-100)
121,0.51895314,0.48104686,1,0,1) very rare (1-5)
122,0.7841603,0.21583968,1,0,1) very rare (1-5)
123,0.95931697,0.04068303,0,700,4) very common (100+)
124,0.64597124,0.35402876,1,37,3) common (21-100)
125,0.34162998,0.65837,1,52,3) common (21-100)
126,0.11483392,0.88516605,1,0,1) very rare (1-5)
127,0.15395913,0.84604084,1,2,1) very rare (1-5)
128,0.12099111,0.8790089,1,0,1) very rare (1-5)
129,0.66700846,0.33299154,0,106,4) very common (100+)
130,0.94677347,0.05322653,1,11,2) rare (6-20)
131,0.36389837,0.6361016,1,2,1) very rare (1-5)
132,0.8271195,0.17288047,0,6,2) rare (6-20)
133,0.6485046,0.3514954,0,1,1) very rare (1-5)
134,0.9924793,0.0075206757,0,274,4) very common (100+)
135,0.35142222,0.6485778,1,0,1) very rare (1-5)
136,0.86020464,0.13979536,0,78,3) common (21-100)
137,0.840798,0.15920198,1,0,1) very rare (1-5)
138,0.5400175,0.4599825,1,1290,4) very common (100+)
139,0.65892595,0.34107405,1,1070,4) very common (100+)
140,0.9898811,0.010118902,0,343,4) very common (100+)
141,0.98123413,0.018765867,0,74,3) common (21-100)
142,0.35236916,0.6476308,0,66,3) common (21-100)
