mol_idx,top_score,error,frequency,tier,ensemble_mean_score,ensemble_std_score
0,0.9352515,0,74,3) common (21-100),0.9219928475,0.04143148654592749
1,0.22641666,0,0,1) very rare (1-5),0.14111116650000002,0.057086783050586204
2,0.83074236,0,74,3) common (21-100),0.9216794199999999,0.038643807334725694
3,0.16736875,1,0,1) very rare (1-5),0.28744575,0.09256093116140389
4,0.072041854,1,0,1) very rare (1-5),0.045108798,0.010664239153299497
5,0.58427376,0,7,2) rare (6-20),0.6049789775,0.16332439923909448
6,0.55770224,0,2,1) very rare (1-5),0.41930446499999996,0.1150246779858532
7,0.812602,0,23,3) common (21-100),0.8333627625,0.01976899105908591
8,0.6971888,1,4,1) very rare (1-5),0.6214025799999999,0.06288569194105606
9,0.028285239,1,0,1) very rare (1-5),0.09467835299999999,0.05311189879706681
10,0.04520195,1,0,1) very rare (1-5),0.12645747750000003,0.08080768285503132
11,0.58254325,0,3,1) very rare (1-5),0.7391526724999999,0.13291765461523264
12,0.05001002,1,0,1) very rare (1-5),0.067842073,0.005474578593067692
13,0.81874514,1,0,1) very rare (1-5),0.7085252475,0.20708569831192417
14,0.78735405,0,1,1) very rare (1-5),0.8633598250000001,0.034326070631618674
15,0.2884783,1,6,2) rare (6-20),0.5726493975,0.1447552368048107
16,0.34366018,0,5,1) very rare (1-5),0.51924114,0.08772950375591666
17,0.91346306,0,74,3) common (21-100),0.9358084249999999,0.03133471246526167
18,0.8520078,1,2,1) very rare (1-5),0.9164760350000001,0.010194717216660558
19,0.84766096,0,3,1) very rare (1-5),0.8105094825,0.09006564466377799
20,0.061667882,1,0,1) very rare (1-5),0.08632729375,0.015613554029722613
21,0.72957146,0,74,3) common (21-100),0.7514946975,0.10401078049065647
22,0.13258748,1,0,1) very rare (1-5),0.21065262499999998,0.07612287224890082
23,0.6075993,1,14,2) rare (6-20),0.7472506,0.09422276151299643
24,0.859005,0,108,4) very common (100+),0.689352815,0.0967860326510105
25,0.5442937,1,145,4) very common (100+),0.5723768925,0.0930921098837338
26,0.09536088,1,7,2) rare (6-20),0.190002845,0.08452834381896775
27,0.1478284,1,20,2) rare (6-20),0.1894669525,0.05185079613729686
28,0.12385844,0,10,2) rare (6-20),0.30930754,0.007484607579746568
29,0.35797003,1,0,1) very rare (1-5),0.341480245,0.1377622673558405
30,0.3449551,0,7,2) rare (6-20),0.5174423975,0.1670311676036132
31,0.6731026,1,43,3) common (21-100),0.7969452574999999,0.059194729972463944
32,0.28955826,0,1,1) very rare (1-5),0.19234892999999997,0.012692638719423164
33,0.8658715,0,6,2) rare (6-20),0.7533306375000001,0.08647109312222044
34,0.22258744,1,31,3) common (21-100),0.09230433275,0.024202231744022137
35,0.07283675,1,0,1) very rare (1-5),0.12628507125,0.014837722545565405
36,0.16475756,1,0,1) very rare (1-5),0.21831837999999998,0.06356355120732164
37,0.760364,1,3,1) very rare (1-5),0.6450549075,0.07798242554903745
38,0.20685546,1,2,1) very rare (1-5),0.25656297499999997,0.14708480010470298
