mol_idx,top_score,error,frequency,tier,ensemble_mean_score,ensemble_std_score
0,0.9352515,0,74,3) common (21-100),0.8356268950000001,0.1373335431529467
1,0.22641666,0,0,1) very rare (1-5),0.16560205,0.07498954464879054
2,0.83074236,0,74,3) common (21-100),0.88866719,0.05078768263767605
3,0.16736875,1,0,1) very rare (1-5),0.34312989250000003,0.10787823369604996
4,0.072041854,1,0,1) very rare (1-5),0.071742892,0.04005621708608083
5,0.58427376,0,7,2) rare (6-20),0.47353784750000005,0.1482232877469376
6,0.55770224,0,2,1) very rare (1-5),0.4594635875,0.09661008489008366
7,0.812602,0,23,3) common (21-100),0.806665695,0.062486647944879604
8,0.6971888,1,4,1) very rare (1-5),0.48924536250000006,0.0797703684354505
9,0.028285239,1,0,1) very rare (1-5),0.1317093275,0.07615028523729783
10,0.04520195,1,0,1) very rare (1-5),0.043458367750000004,0.020275287566613703
11,0.58254325,0,3,1) very rare (1-5),0.6516742124999999,0.13941551639126246
12,0.05001002,1,0,1) very rare (1-5),0.06868869,0.03694031503687266
13,0.81874514,1,0,1) very rare (1-5),0.564547965,0.14805224176745407
14,0.78735405,0,1,1) very rare (1-5),0.8696915875,0.025828691131711812
15,0.2884783,1,6,2) rare (6-20),0.373277875,0.18512517476112594
16,0.34366018,0,5,1) very rare (1-5),0.5430933,0.15792149880909187
17,0.91346306,0,74,3) common (21-100),0.94818351,0.027356480363093124
18,0.8520078,1,2,1) very rare (1-5),0.8634185999999999,0.04892957150989371
19,0.84766096,0,3,1) very rare (1-5),0.7659299500000001,0.05132800436927682
20,0.061667882,1,0,1) very rare (1-5),0.0878162215,0.030222145047853945
21,0.72957146,0,74,3) common (21-100),0.790020845,0.04598629731334461
22,0.13258748,1,0,1) very rare (1-5),0.29920316249999995,0.14604236960651668
23,0.6075993,1,14,2) rare (6-20),0.7597948525,0.09469930325931798
24,0.859005,0,108,4) very common (100+),0.7068383275000001,0.06871402265227432
25,0.5442937,1,145,4) very common (100+),0.5548941000000001,0.06409326535990345
26,0.09536088,1,7,2) rare (6-20),0.18067926375,0.07312728662263608
27,0.1478284,1,20,2) rare (6-20),0.16374018999999998,0.07830227871962955
28,0.12385844,0,10,2) rare (6-20),0.30679561,0.0832731122181665
29,0.35797003,1,0,1) very rare (1-5),0.2782004975,0.039661342774886206
30,0.3449551,0,7,2) rare (6-20),0.5196684125,0.09284907643034458
31,0.6731026,1,43,3) common (21-100),0.8499669000000001,0.040245324450549555
32,0.28955826,0,1,1) very rare (1-5),0.230336105,0.07062333959855782
33,0.8658715,0,6,2) rare (6-20),0.5889124925,0.11818916386175964
34,0.22258744,1,31,3) common (21-100),0.11195593000000001,0.022798429554224783
35,0.07283675,1,0,1) very rare (1-5),0.13580804999999999,0.041501592049729245
36,0.16475756,1,0,1) very rare (1-5),0.145974785,0.03805826022600449
37,0.760364,1,3,1) very rare (1-5),0.5681832950000001,0.09628698479384339
38,0.20685546,1,2,1) very rare (1-5),0.15767330499999999,0.040535657969419034
39,0.49198696,0,84,3) common (21-100),0.4207900425,0.08288925392211235
40,0.10012276,1,0,1) very rare (1-5),0.141715565,0.04150545148655927
41,0.061444033,1,0,1) very rare (1-5),0.09419771874999999,0.0238534194149692
42,0.21880835,0,2,1) very rare (1-5),0.299985615,0.1307773928370933
43,0.2885833,0,3,1) very rare (1-5),0.4386813325,0.2281351915356832
44,0.05499082,0,1,1) very rare (1-5),0.0722679115,0.035018205362620694
45,0.7112438,1,0,1) very rare (1-5),0.663868825,0.1509751043404363
46,0.4759342,0,36,3) common (21-100),0.79794395,0.13067283900402754
47,0.6152317,0,3,1) very rare (1-5),0.24981232250000002,0.08812481215373125
48,0.026868666,1,1,1) very rare (1-5),0.0437783855,0.01445698607157082
49,0.07789908,1,0,1) very rare (1-5),0.0835015815,0.033074858833995545
50,0.085768275,1,8,2) rare (6-20),0.176757535,0.06424612722747942
51,0.9118957,1,2,1) very rare (1-5),0.8901723024999999,0.05453760877942872
52,0.73957103,1,5,1) very rare (1-5),0.76672239,0.12460069081391685
