mol_idx,top_score,uq,error,frequency,tier
0,0.9705875,0.029412508,0,74,3) common (21-100)
1,0.23676717,0.7632328,0,0,1) very rare (1-5)
2,0.96139294,0.03860706,0,74,3) common (21-100)
3,0.31595486,0.68404514,1,0,1) very rare (1-5)
4,0.040691018,0.959309,1,0,1) very rare (1-5)
5,0.7667623,0.23323768,0,7,2) rare (6-20)
6,0.35467148,0.6453285,0,2,1) very rare (1-5)
7,0.846533,0.153467,0,23,3) common (21-100)
8,0.6196011,0.38039893,1,4,1) very rare (1-5)
9,0.047953952,0.95204604,1,0,1) very rare (1-5)
10,0.26406136,0.73593867,1,0,1) very rare (1-5)
11,0.78081375,0.21918625,0,3,1) very rare (1-5)
12,0.070851326,0.9291487,1,0,1) very rare (1-5)
13,0.83401054,0.16598946,1,0,1) very rare (1-5)
14,0.8748335,0.12516648,0,1,1) very rare (1-5)
15,0.72671247,0.27328753,1,6,2) rare (6-20)
16,0.40855172,0.5914483,0,5,1) very rare (1-5)
17,0.9282309,0.07176912,0,74,3) common (21-100)
18,0.9147618,0.08523822,1,2,1) very rare (1-5)
19,0.82249683,0.17750317,0,3,1) very rare (1-5)
20,0.06570286,0.93429714,1,0,1) very rare (1-5)
21,0.7844195,0.21558052,0,74,3) common (21-100)
22,0.21677278,0.7832272,1,0,1) very rare (1-5)
23,0.8683376,0.13166243,1,14,2) rare (6-20)
24,0.78551406,0.21448594,0,108,4) very common (100+)
25,0.431804,0.568196,1,145,4) very common (100+)
26,0.13031864,0.86968136,0,7,2) rare (6-20)
27,0.13468799,0.865312,1,20,2) rare (6-20)
28,0.3108326,0.6891674,0,10,2) rare (6-20)
29,0.3343542,0.66564584,1,0,1) very rare (1-5)
30,0.51136297,0.48863703,0,7,2) rare (6-20)
31,0.872927,0.12707299,1,43,3) common (21-100)
32,0.20779473,0.7922053,0,1,1) very rare (1-5)
33,0.8482042,0.1517958,0,6,2) rare (6-20)
34,0.05857995,0.9414201,1,31,3) common (21-100)
35,0.14243768,0.8575623,1,0,1) very rare (1-5)
36,0.30141702,0.698583,1,0,1) very rare (1-5)
37,0.7530169,0.24698311,1,3,1) very rare (1-5)
38,0.16072139,0.8392786,1,2,1) very rare (1-5)
39,0.43376616,0.5662339,0,84,3) common (21-100)
40,0.1779373,0.82206273,1,0,1) very rare (1-5)
41,0.0814676,0.9185324,1,0,1) very rare (1-5)
42,0.36749044,0.6325096,1,2,1) very rare (1-5)
43,0.38595644,0.6140436,0,3,1) very rare (1-5)
44,0.2039493,0.79605067,0,1,1) very rare (1-5)
45,0.5574979,0.44250208,1,0,1) very rare (1-5)
46,0.84862876,0.15137124,0,36,3) common (21-100)
47,0.22353333,0.77646667,1,3,1) very rare (1-5)
48,0.055458087,0.94454193,1,1,1) very rare (1-5)
49,0.053812668,0.9461873,0,0,1) very rare (1-5)
50,0.21111426,0.7888857,1,8,2) rare (6-20)
51,0.80926245,0.19073755,1,2,1) very rare (1-5)
52,0.74419254,0.25580746,1,5,1) very rare (1-5)
53,0.4822387,0.5177613,1,44,3) common (21-100)
54,0.044401564,0.9555984,1,0,1) very rare (1-5)
55,0.090204805,0.90979517,1,3,1) very rare (1-5)
56,0.6954006,0.3045994,1,1,1) very rare (1-5)
57,0.7779738,0.22202623,0,274,4) very common (100+)
58,0.09825985,0.90174013,1,14,2) rare (6-20)
59,0.60085416,0.39914584,1,2,1) very rare (1-5)
60,0.24161698,0.75838304,0,1,1) very rare (1-5)
61,0.4503562,0.5496438,1,2,1) very rare (1-5)
62,0.46179044,0.53820956,0,123,4) very common (100+)
63,0.059381906,0.9406181,1,1,1) very rare (1-5)
64,0.6950839,0.30491608,1,30,3) common (21-100)
65,0.9412337,0.058766305,0,15,2) rare (6-20)
66,0.57168245,0.42831755,0,6,2) rare (6-20)
67,0.35503167,0.64496833,0,13,2) rare (6-20)
68,0.9952003,0.0047997236,0,274,4) very common (100+)
69,0.20525242,0.7947476,1,0,1) very rare (1-5)
70,0.48076043,0.51923954,0,5,1) very rare (1-5)
71,0.41567868,0.5843213,0,14,2) rare (6-20)
72,0.13852595,0.86147404,1,2,1) very rare (1-5)
73,0.73852956,0.26147044,1,142,4) very common (100+)
74,0.06615214,0.93384784,1,0,1) very rare (1-5)
75,0.26357338,0.7364266,0,81,3) common (21-100)
76,0.49542245,0.5045775,1,30,3) common (21-100)
77,0.5653062,0.4346938,1,4,1) very rare (1-5)
78,0.31634137,0.6836586,1,2,1) very rare (1-5)
79,0.613776,0.38622397,1,1070,4) very common (100+)
80,0.45982632,0.54017365,1,1,1) very rare (1-5)
81,0.110384494,0.88961554,1,0,1) very rare (1-5)
82,0.03620944,0.96379054,1,3,1) very rare (1-5)
83,0.904896,0.09510398,1,1290,4) very common (100+)
84,0.16164917,0.83835083,1,1,1) very rare (1-5)
85,0.3021082,0.69789183,1,19,2) rare (6-20)
86,0.25280157,0.74719846,0,75,3) common (21-100)
87,0.028449131,0.9715509,1,24,3) common (21-100)
88,0.18881005,0.81118995,1,0,1) very rare (1-5)
89,0.3800784,0.61992157,0,106,4) very common (100+)
90,0.4503645,0.5496355,0,81,3) common (21-100)
91,0.29168594,0.70831406,0,2,1) very rare (1-5)
92,0.29982847,0.70017153,1,6,2) rare (6-20)
93,0.9138317,0.08616829,1,146,4) very common (100+)
94,0.64113384,0.35886616,1,3,1) very rare (1-5)
95,0.88754356,0.11245644,0,1290,4) very common (100+)
96,0.09272407,0.9072759,1,26,3) common (21-100)
97,0.04923836,0.9507616,0,15,2) rare (6-20)
98,0.1640257,0.83597434,1,107,4) very common (100+)
99,0.8978834,0.102116585,1,1070,4) very common (100+)
100,0.19575657,0.80424345,1,96,3) common (21-100)
101,0.09908777,0.9009122,1,1,1) very rare (1-5)
102,0.38354903,0.61645097,0,118,4) very common (100+)
103,0.33879492,0.66120505,0,0,1) very rare (1-5)
104,0.7840738,0.21592617,1,54,3) common (21-100)
105,0.7068729,0.29312712,0,1290,4) very common (100+)
106,0.99622077,0.0037792325,0,89,3) common (21-100)
107,0.11242604,0.88757396,1,20,2) rare (6-20)
108,0.8228083,0.17719167,0,66,3) common (21-100)
109,0.16626576,0.8337343,0,9,2) rare (6-20)
110,0.99346864,0.0065313578,1,89,3) common (21-100)
111,0.514556,0.485444,1,16,2) rare (6-20)
112,0.13763365,0.8623663,0,0,1) very rare (1-5)
113,0.64930797,0.35069203,0,43,3) common (21-100)
114,0.105544336,0.8944557,0,111,4) very common (100+)
115,0.6572333,0.3427667,0,145,4) very common (100+)
116,0.022164442,0.97783554,1,1,1) very rare (1-5)
117,0.9274704,0.072529614,0,70,3) common (21-100)
118,0.51025087,0.48974913,0,94,3) common (21-100)
119,0.84429806,0.15570194,0,123,4) very common (100+)
120,0.17856027,0.82143974,0,33,3) common (21-100)
121,0.6747192,0.3252808,1,0,1) very rare (1-5)
122,0.62324566,0.37675434,1,0,1) very rare (1-5)
123,0.9796581,0.020341873,0,700,4) very common (100+)
124,0.531557,0.46844298,1,37,3) common (21-100)
125,0.6659241,0.33407593,0,52,3) common (21-100)
126,0.17374606,0.82625395,1,0,1) very rare (1-5)
127,0.18045478,0.8195452,1,2,1) very rare (1-5)
128,0.071346365,0.92865366,1,0,1) very rare (1-5)
129,0.5737207,0.4262793,0,106,4) very common (100+)
130,0.9512931,0.04870689,1,11,2) rare (6-20)
131,0.281793,0.718207,1,2,1) very rare (1-5)
132,0.82546526,0.17453474,0,6,2) rare (6-20)
133,0.715476,0.28452402,0,1,1) very rare (1-5)
134,0.9967186,0.0032814145,0,274,4) very common (100+)
135,0.23464625,0.76535374,1,0,1) very rare (1-5)
136,0.91669667,0.08330333,0,78,3) common (21-100)
137,0.6128181,0.38718188,1,0,1) very rare (1-5)
138,0.6943123,0.30568773,0,1290,4) very common (100+)
139,0.48748115,0.5125189,1,1070,4) very common (100+)
140,0.99033,0.009670019,0,343,4) very common (100+)
141,0.86063665,0.13936335,0,74,3) common (21-100)
142,0.4226372,0.5773628,0,66,3) common (21-100)
143,0.35055536,0.64944464,1,2,1) very rare (1-5)
144,0.51906264,0.48093736,1,13,2) rare (6-20)
145,0.253819,0.746181,0,5,1) very rare (1-5)
146,0.390039,0.60996103,0,166,4) very common (100+)
147,0.0485377,0.95146227,1,3,1) very rare (1-5)
148,0.2078023,0.7921977,1,1,1) very rare (1-5)
149,0.26509872,0.7349013,0,33,3) common (21-100)
150,0.4616607,0.53833926,0,178,4) very common (100+)
151,0.30845106,0.69154894,1,5,1) very rare (1-5)
152,0.70442593,0.29557407,0,1290,4) very common (100+)
153,0.024603147,0.9753969,1,33,3) common (21-100)
154,0.06413407,0.93586594,1,0,1) very rare (1-5)
155,0.42947713,0.5705229,0,33,3) common (21-100)
156,0.92789596,0.07210404,0,9,2) rare (6-20)
157,0.9535525,0.046447515,1,8,2) rare (6-20)
158,0.95782846,0.042171538,0,39,3) common (21-100)
159,0.44966802,0.55033195,1,4,1) very rare (1-5)
160,0.5188688,0.4811312,0,10,2) rare (6-20)
161,0.09364754,0.90635246,1,0,1) very rare (1-5)
162,0.2843422,0.71565783,0,76,3) common (21-100)
163,0.3923418,0.6076582,1,4,1) very rare (1-5)
164,0.07315021,0.9268498,1,160,4) very common (100+)
165,0.14298324,0.85701674,0,4,1) very rare (1-5)
166,0.8076912,0.19230878,1,7,2) rare (6-20)
167,0.12626243,0.8737376,1,4,1) very rare (1-5)
168,0.24723749,0.7527625,0,223,4) very common (100+)
169,0.20590045,0.79409957,0,8,2) rare (6-20)
170,0.4284299,0.5715701,1,0,1) very rare (1-5)
171,0.32645968,0.67354035,1,26,3) common (21-100)
172,0.76382446,0.23617554,0,1290,4) very common (100+)
173,0.44095862,0.5590414,0,105,4) very common (100+)
174,0.30020276,0.6997973,1,1,1) very rare (1-5)
175,0.16482772,0.8351723,1,2,1) very rare (1-5)
176,0.4270098,0.5729902,0,15,2) rare (6-20)
177,0.45084938,0.5491506,0,102,4) very common (100+)
178,0.9418512,0.0581488,0,1070,4) very common (100+)
179,0.91792375,0.08207625,0,15,2) rare (6-20)
180,0.76569283,0.23430717,0,1070,4) very common (100+)
181,0.52126914,0.47873086,0,79,3) common (21-100)
182,0.4713506,0.5286494,1,1070,4) very common (100+)
183,0.11270587,0.8872941,1,36,3) common (21-100)
184,0.8687203,0.1312797,0,66,3) common (21-100)
185,0.6621532,0.33784682,0,1070,4) very common (100+)
186,0.996754,0.0032460093,0,211,4) very common (100+)
187,0.28266636,0.7173337,1,81,3) common (21-100)
188,0.10642523,0.8935748,1,10,2) rare (6-20)
189,0.18457185,0.81542814,1,1,1) very rare (1-5)
190,0.9453398,0.0546602,0,1070,4) very common (100+)
191,0.026465131,0.9735349,0,2,1) very rare (1-5)
192,0.5018724,0.49812758,1,20,2) rare (6-20)
193,0.15660259,0.8433974,0,5,1) very rare (1-5)
194,0.5283416,0.4716584,0,4,1) very rare (1-5)
195,0.555184,0.444816,0,4,1) very rare (1-5)
196,0.38762173,0.61237824,0,6,2) rare (6-20)
197,0.6606187,0.33938128,1,45,3) common (21-100)
198,0.69098324,0.30901676,0,108,4) very common (100+)
199,0.12903541,0.8709646,0,44,3) common (21-100)
200,0.4277678,0.5722322,1,30,3) common (21-100)
201,0.26747337,0.73252666,1,96,3) common (21-100)
202,0.82934713,0.17065287,0,70,3) common (21-100)
203,0.2604689,0.7395311,1,0,1) very rare (1-5)
204,0.18908167,0.81091833,1,2,1) very rare (1-5)
205,0.20060542,0.7993946,1,2,1) very rare (1-5)
206,0.7085701,0.29142988,1,372,4) very common (100+)
207,0.4418164,0.5581836,1,0,1) very rare (1-5)
208,0.124176815,0.8758232,1,11,2) rare (6-20)
209,0.29317355,0.70682645,1,0,1) very rare (1-5)
210,0.7079158,0.29208422,0,274,4) very common (100+)
211,0.7070057,0.29299432,0,99,3) common (21-100)
212,0.17345725,0.82654274,1,5,1) very rare (1-5)
213,0.88365495,0.11634505,0,1290,4) very common (100+)
214,0.44069082,0.5593092,0,5,1) very rare (1-5)
215,0.16746296,0.83253706,1,1,1) very rare (1-5)
216,0.5071724,0.4928276,0,121,4) very common (100+)
217,0.37899154,0.62100846,1,1,1) very rare (1-5)
218,0.716236,0.283764,0,118,4) very common (100+)
219,0.9826385,0.017361522,0,118,4) very common (100+)
220,0.18647623,0.81352377,1,1,1) very rare (1-5)
221,0.607668,0.39233202,0,6,2) rare (6-20)
222,0.1392443,0.8607557,1,4,1) very rare (1-5)
223,0.29796332,0.7020367,1,4,1) very rare (1-5)
224,0.081575416,0.9184246,1,1,1) very rare (1-5)
225,0.7078717,0.29212832,0,1290,4) very common (100+)
226,0.48711458,0.51288545,1,9,2) rare (6-20)
227,0.78379095,0.21620905,0,8,2) rare (6-20)
228,0.2624193,0.73758066,1,9,2) rare (6-20)
229,0.84827596,0.15172404,1,237,4) very common (100+)
230,0.78681016,0.21318984,0,261,4) very common (100+)
231,0.34134665,0.6586534,1,3,1) very rare (1-5)
232,0.0532342,0.9467658,1,3,1) very rare (1-5)
233,0.85480016,0.14519984,0,108,4) very common (100+)
234,0.53296286,0.46703714,0,118,4) very common (100+)
235,0.09070138,0.9092986,1,9,2) rare (6-20)
236,0.25487477,0.74512523,1,20,2) rare (6-20)
237,0.31741104,0.68258893,0,22,3) common (21-100)
238,0.039320104,0.9606799,1,3,1) very rare (1-5)
239,0.5049925,0.49500751,1,145,4) very common (100+)
240,0.94647616,0.05352384,1,84,3) common (21-100)
241,0.57957715,0.42042285,1,33,3) common (21-100)
242,0.92539066,0.07460934,1,8,2) rare (6-20)
243,0.10319019,0.8968098,1,1,1) very rare (1-5)
244,0.10628203,0.89371794,0,39,3) common (21-100)
245,0.8306828,0.16931719,0,1070,4) very common (100+)
246,0.95504975,0.044950247,0,1070,4) very common (100+)
247,0.83120483,0.16879517,0,39,3) common (21-100)
248,0.25615582,0.74384415,0,3,1) very rare (1-5)
