mol_idx,top_score,uq,error,frequency,tier
0,0.9451418,0.054858208,0,74,3) common (21-100)
1,0.254479,0.745521,0,0,1) very rare (1-5)
2,0.91647416,0.08352584,0,74,3) common (21-100)
3,0.46817803,0.53182197,1,0,1) very rare (1-5)
4,0.11838435,0.88161564,1,0,1) very rare (1-5)
5,0.69497997,0.30502003,0,7,2) rare (6-20)
6,0.50206137,0.49793863,0,2,1) very rare (1-5)
7,0.717568,0.28243202,0,23,3) common (21-100)
8,0.5507563,0.44924372,1,4,1) very rare (1-5)
9,0.11698295,0.88301706,1,0,1) very rare (1-5)
10,0.022578955,0.97742105,1,0,1) very rare (1-5)
11,0.84437054,0.15562946,0,3,1) very rare (1-5)
12,0.03746493,0.9625351,1,0,1) very rare (1-5)
13,0.390088,0.60991204,1,0,1) very rare (1-5)
14,0.9056063,0.09439367,0,1,1) very rare (1-5)
15,0.24659699,0.753403,1,6,2) rare (6-20)
16,0.616705,0.383295,0,5,1) very rare (1-5)
17,0.9855055,0.014494479,0,74,3) common (21-100)
18,0.8875294,0.11247063,1,2,1) very rare (1-5)
19,0.8501372,0.14986283,0,3,1) very rare (1-5)
20,0.13653736,0.8634626,1,0,1) very rare (1-5)
21,0.74953705,0.25046295,0,74,3) common (21-100)
22,0.4855585,0.5144415,1,0,1) very rare (1-5)
23,0.71091425,0.28908575,1,14,2) rare (6-20)
24,0.61733145,0.38266855,0,108,4) very common (100+)
25,0.5608394,0.4391606,0,145,4) very common (100+)
26,0.13154347,0.86845654,1,7,2) rare (6-20)
27,0.12396118,0.8760388,1,20,2) rare (6-20)
28,0.32846567,0.6715343,0,10,2) rare (6-20)
29,0.28300545,0.7169945,1,0,1) very rare (1-5)
30,0.6024914,0.39750862,0,7,2) rare (6-20)
31,0.7950788,0.20492119,1,43,3) common (21-100)
32,0.34179953,0.6582005,0,1,1) very rare (1-5)
33,0.64783525,0.35216475,0,6,2) rare (6-20)
34,0.11923528,0.8807647,1,31,3) common (21-100)
35,0.08827943,0.9117206,1,0,1) very rare (1-5)
36,0.20972508,0.7902749,1,0,1) very rare (1-5)
37,0.40345627,0.5965437,1,3,1) very rare (1-5)
38,0.21888009,0.78111994,1,2,1) very rare (1-5)
39,0.3883398,0.61166024,1,84,3) common (21-100)
40,0.1041869,0.8958131,1,0,1) very rare (1-5)
41,0.066991605,0.9330084,1,0,1) very rare (1-5)
42,0.32258675,0.6774132,1,2,1) very rare (1-5)
43,0.7826366,0.21736342,0,3,1) very rare (1-5)
44,0.11587857,0.8841214,0,1,1) very rare (1-5)
45,0.8515246,0.14847541,1,0,1) very rare (1-5)
46,0.9398697,0.0601303,0,36,3) common (21-100)
47,0.27698156,0.7230184,1,3,1) very rare (1-5)
48,0.02727291,0.97272706,0,1,1) very rare (1-5)
49,0.040791802,0.9592082,1,0,1) very rare (1-5)
50,0.28112,0.71888,1,8,2) rare (6-20)
51,0.9616496,0.038350403,1,2,1) very rare (1-5)
52,0.7783957,0.22160429,1,5,1) very rare (1-5)
53,0.2269415,0.77305853,1,44,3) common (21-100)
54,0.12663963,0.8733604,1,0,1) very rare (1-5)
55,0.106225744,0.8937743,1,3,1) very rare (1-5)
