mol_idx,top_score,error,frequency,tier,mean_top_score,std_top_score,agreement_rate,predictive_entropy
0,0.9352515,0,74,3) common (21-100),0.72439295,0.08887767,1.0,2.06363582486639
1,0.22641666,0,0,1) very rare (1-5),0.09318104,0.048368,0.7,6.57748805716613
2,0.83074236,0,74,3) common (21-100),0.5551096,0.13075177,1.0,2.7084057778944044
3,0.16736875,1,0,1) very rare (1-5),0.07030736,0.02931083,0.5,6.979544898410173
4,0.072041854,1,0,1) very rare (1-5),0.036543153,0.016810032,0.55,7.504553842670806
5,0.58427376,0,7,2) rare (6-20),0.3593307,0.15756671,0.85,3.670718442557326
6,0.55770224,0,2,1) very rare (1-5),0.3882982,0.11081698,0.85,3.9933434381884707
7,0.812602,0,23,3) common (21-100),0.61468667,0.11445738,1.0,1.6535349537857522
8,0.6971888,1,4,1) very rare (1-5),0.37814823,0.12173654,0.95,4.521568723756149
9,0.028285239,1,0,1) very rare (1-5),0.024759863,0.010958665,0.4,7.622332892885008
10,0.04520195,1,0,1) very rare (1-5),0.026712144,0.01878819,0.5,7.996950628587361
11,0.58254325,0,3,1) very rare (1-5),0.29032326,0.10725156,0.95,5.431279572762207
12,0.05001002,1,0,1) very rare (1-5),0.031749927,0.015248828,0.5,7.7345741019545216
13,0.81874514,1,0,1) very rare (1-5),0.45238867,0.13883245,1.0,4.423202767240105
14,0.78735405,0,1,1) very rare (1-5),0.45153007,0.13185963,1.0,4.186425114586468
15,0.2884783,1,6,2) rare (6-20),0.09289053,0.056122106,1.0,7.481819975127706
16,0.34366018,0,5,1) very rare (1-5),0.13327006,0.050012022,0.8,6.23842334272173
17,0.91346306,0,74,3) common (21-100),0.6720767,0.12862974,1.0,2.4527469624196403
18,0.8520078,1,2,1) very rare (1-5),0.65436655,0.12924011,1.0,1.9058486015430143
19,0.84766096,0,3,1) very rare (1-5),0.6476506,0.12702814,0.95,2.1880671906805937
20,0.061667882,1,0,1) very rare (1-5),0.037420996,0.013058064,0.35,7.69481699951648
21,0.72957146,0,74,3) common (21-100),0.5075975,0.122692205,1.0,3.033171278628959
