mol_idx,top_score,uq,error,frequency,tier
0,0.9526174,0.047382593,0,74,3) common (21-100)
1,0.05866995,0.9413301,0,0,1) very rare (1-5)
2,0.9691486,0.030851424,0,74,3) common (21-100)
3,0.42546818,0.5745318,1,0,1) very rare (1-5)
4,0.050048545,0.94995147,1,0,1) very rare (1-5)
5,0.6756755,0.3243245,0,7,2) rare (6-20)
6,0.033102915,0.9668971,1,0,1) very rare (1-5)
7,0.5802126,0.4197874,0,3,1) very rare (1-5)
8,0.4331631,0.5668369,1,0,1) very rare (1-5)
9,0.6427571,0.35724288,1,6,2) rare (6-20)
10,0.97352546,0.026474535,0,74,3) common (21-100)
11,0.9189389,0.081061125,1,2,1) very rare (1-5)
12,0.07752539,0.9224746,1,0,1) very rare (1-5)
13,0.8841127,0.115887284,0,74,3) common (21-100)
14,0.06796253,0.9320375,1,0,1) very rare (1-5)
15,0.9084089,0.09159112,1,14,2) rare (6-20)
16,0.4065866,0.5934134,1,108,4) very common (100+)
17,0.8251298,0.1748702,0,145,4) very common (100+)
18,0.24862386,0.75137615,1,7,2) rare (6-20)
19,0.6116597,0.3883403,0,20,2) rare (6-20)
20,0.058491528,0.9415085,1,10,2) rare (6-20)
21,0.4482171,0.5517829,1,0,1) very rare (1-5)
22,0.68539846,0.31460154,0,7,2) rare (6-20)
23,0.58754575,0.41245425,1,43,3) common (21-100)
24,0.28886524,0.7111348,1,1,1) very rare (1-5)
25,0.77634937,0.22365063,0,6,2) rare (6-20)
26,0.109289534,0.8907105,1,31,3) common (21-100)
27,0.10284848,0.8971515,1,0,1) very rare (1-5)
28,0.13787074,0.8621293,1,0,1) very rare (1-5)
29,0.24721952,0.7527805,1,2,1) very rare (1-5)
30,0.661294,0.33870602,0,84,3) common (21-100)
31,0.094483115,0.90551686,1,0,1) very rare (1-5)
32,0.12455984,0.8754402,1,2,1) very rare (1-5)
33,0.37780964,0.62219036,0,3,1) very rare (1-5)
34,0.07071908,0.92928094,1,1,1) very rare (1-5)
35,0.4787216,0.5212784,1,0,1) very rare (1-5)
36,0.3339325,0.6660675,0,36,3) common (21-100)
37,0.369798,0.630202,1,3,1) very rare (1-5)
38,0.028034152,0.97196585,1,1,1) very rare (1-5)
39,0.088399984,0.9116,1,0,1) very rare (1-5)
40,0.13208456,0.86791545,0,8,2) rare (6-20)
41,0.9504519,0.04954809,1,2,1) very rare (1-5)
42,0.38883668,0.6111633,1,5,1) very rare (1-5)
43,0.5085882,0.4914118,1,44,3) common (21-100)
44,0.08116447,0.9188355,1,3,1) very rare (1-5)
45,0.8175863,0.1824137,1,1,1) very rare (1-5)
46,0.59545517,0.40454483,0,274,4) very common (100+)
47,0.061085943,0.93891406,1,14,2) rare (6-20)
48,0.5496718,0.45032817,1,2,1) very rare (1-5)
49,0.08574997,0.91425,0,1,1) very rare (1-5)
50,0.50681263,0.49318737,1,123,4) very common (100+)
51,0.0693523,0.93064773,1,1,1) very rare (1-5)
52,0.5066919,0.49330813,1,30,3) common (21-100)
53,0.91915405,0.08084595,0,15,2) rare (6-20)
54,0.7316607,0.26833928,0,6,2) rare (6-20)
55,0.71723133,0.28276867,1,13,2) rare (6-20)
56,0.99633396,0.0036660433,0,274,4) very common (100+)
57,0.36494884,0.63505113,1,0,1) very rare (1-5)
58,0.751272,0.24872798,0,5,1) very rare (1-5)
59,0.24454726,0.75545275,1,14,2) rare (6-20)
60,0.16271952,0.8372805,1,2,1) very rare (1-5)
61,0.16139658,0.83860344,1,142,4) very common (100+)
62,0.084903784,0.9150962,1,0,1) very rare (1-5)
63,0.2519643,0.74803567,1,81,3) common (21-100)
64,0.26252776,0.73747224,1,30,3) common (21-100)
65,0.597385,0.402615,1,4,1) very rare (1-5)
66,0.71472764,0.28527236,1,1070,4) very common (100+)
67,0.69476354,0.30523646,1,1,1) very rare (1-5)
68,0.23814638,0.76185364,1,0,1) very rare (1-5)
69,0.05877887,0.9412211,1,3,1) very rare (1-5)
70,0.9712337,0.028766274,1,1290,4) very common (100+)
