mol_idx,top_score,uq,error,frequency,tier
0,0.019159582,0.98084044,1,0,1) very rare (1-5)
1,0.5419628,0.4580372,1,0,1) very rare (1-5)
2,0.08119914,0.91880083,1,0,1) very rare (1-5)
3,0.01342001,0.98658,1,0,1) very rare (1-5)
4,0.096981175,0.90301883,1,0,1) very rare (1-5)
5,0.408387,0.591613,1,0,1) very rare (1-5)
6,0.48999983,0.51000017,1,0,1) very rare (1-5)
7,0.7358297,0.2641703,1,0,1) very rare (1-5)
8,0.59317553,0.40682447,1,0,1) very rare (1-5)
9,0.12825307,0.8717469,1,0,1) very rare (1-5)
10,0.35004207,0.6499579,1,0,1) very rare (1-5)
11,0.41076997,0.58923006,1,0,1) very rare (1-5)
12,0.66911405,0.33088595,1,0,1) very rare (1-5)
13,0.06496238,0.9350376,1,0,1) very rare (1-5)
14,0.29914656,0.70085347,1,0,1) very rare (1-5)
15,0.042962614,0.9570374,1,0,1) very rare (1-5)
16,0.8235018,0.17649817,1,0,1) very rare (1-5)
17,0.30552915,0.6944709,1,0,1) very rare (1-5)
18,0.25562695,0.7443731,1,0,1) very rare (1-5)
19,0.96524984,0.034750164,1,0,1) very rare (1-5)
20,0.021880554,0.97811943,1,0,1) very rare (1-5)
21,0.16755638,0.8324436,1,0,1) very rare (1-5)
22,0.56048554,0.43951446,1,0,1) very rare (1-5)
23,0.26103455,0.73896545,1,0,1) very rare (1-5)
24,0.40753862,0.59246135,1,0,1) very rare (1-5)
25,0.07783855,0.92216146,1,0,1) very rare (1-5)
26,0.01701009,0.9829899,1,0,1) very rare (1-5)
27,0.4456162,0.5543838,1,0,1) very rare (1-5)
28,0.32780758,0.67219245,1,0,1) very rare (1-5)
29,0.76445395,0.23554605,1,0,1) very rare (1-5)
30,0.07279427,0.92720574,1,0,1) very rare (1-5)
31,0.02978188,0.9702181,1,0,1) very rare (1-5)
32,0.027156109,0.9728439,1,0,1) very rare (1-5)
33,0.30505505,0.694945,1,0,1) very rare (1-5)
34,0.5976384,0.40236157,1,0,1) very rare (1-5)
35,0.10305268,0.8969473,1,0,1) very rare (1-5)
36,0.23768519,0.7623148,1,0,1) very rare (1-5)
37,0.022963054,0.97703695,1,0,1) very rare (1-5)
38,0.72779876,0.27220124,1,0,1) very rare (1-5)
39,0.01739128,0.98260874,1,0,1) very rare (1-5)
40,0.101978965,0.89802104,1,0,1) very rare (1-5)
41,0.43995345,0.56004655,1,0,1) very rare (1-5)
42,0.04987282,0.9501272,1,0,1) very rare (1-5)
43,0.03216993,0.96783006,1,0,1) very rare (1-5)
44,0.019493442,0.98050654,1,0,1) very rare (1-5)
45,0.034620803,0.9653792,1,0,1) very rare (1-5)
46,0.14577004,0.8542299,1,0,1) very rare (1-5)
47,0.26270068,0.7372993,1,0,1) very rare (1-5)
48,0.06517289,0.9348271,1,0,1) very rare (1-5)
49,0.019781291,0.9802187,1,0,1) very rare (1-5)
50,0.20590259,0.7940974,1,0,1) very rare (1-5)
51,0.6280168,0.37198317,1,0,1) very rare (1-5)
52,0.3349105,0.6650895,1,0,1) very rare (1-5)
53,0.22625786,0.77374214,1,0,1) very rare (1-5)
54,0.11652614,0.8834739,1,0,1) very rare (1-5)
55,0.88569075,0.11430925,1,0,1) very rare (1-5)
56,0.58450586,0.41549414,1,0,1) very rare (1-5)
57,0.1597212,0.8402788,1,0,1) very rare (1-5)
58,0.23165691,0.7683431,1,0,1) very rare (1-5)
59,0.923662,0.07633799,1,0,1) very rare (1-5)
60,0.59076786,0.40923214,1,0,1) very rare (1-5)
61,0.9394875,0.060512483,1,0,1) very rare (1-5)
62,0.018726181,0.98127383,1,0,1) very rare (1-5)
63,0.71389157,0.28610843,1,0,1) very rare (1-5)
64,0.48907068,0.51092935,1,0,1) very rare (1-5)
65,0.43810996,0.56189,1,0,1) very rare (1-5)
66,0.106290996,0.893709,1,0,1) very rare (1-5)
67,0.16326718,0.8367328,1,0,1) very rare (1-5)
68,0.015681844,0.98431814,1,0,1) very rare (1-5)
69,0.2429065,0.7570935,1,0,1) very rare (1-5)
70,0.20813547,0.7918645,1,0,1) very rare (1-5)
71,0.15822391,0.8417761,1,0,1) very rare (1-5)
72,0.61073154,0.38926846,1,0,1) very rare (1-5)
73,0.8092369,0.19076312,1,0,1) very rare (1-5)
74,0.010327585,0.9896724,1,0,1) very rare (1-5)
75,0.23621099,0.763789,1,0,1) very rare (1-5)
76,0.59487677,0.40512323,1,0,1) very rare (1-5)
77,0.123943105,0.8760569,1,0,1) very rare (1-5)
78,0.03716013,0.96283984,1,0,1) very rare (1-5)
79,0.7008068,0.2991932,1,0,1) very rare (1-5)
80,0.540045,0.45995498,1,0,1) very rare (1-5)
81,0.25730932,0.7426907,1,0,1) very rare (1-5)
82,0.06381034,0.93618965,1,0,1) very rare (1-5)
83,0.44513035,0.55486965,1,0,1) very rare (1-5)
84,0.29533252,0.70466745,1,0,1) very rare (1-5)
85,0.026231676,0.97376835,1,0,1) very rare (1-5)
86,0.008494657,0.9915053,1,0,1) very rare (1-5)
87,0.11633206,0.88366795,1,0,1) very rare (1-5)
88,0.15002331,0.84997666,1,0,1) very rare (1-5)
89,0.035449453,0.96455055,1,0,1) very rare (1-5)
90,0.44377765,0.5562223,1,0,1) very rare (1-5)
91,0.06637339,0.9336266,1,0,1) very rare (1-5)
92,0.04645907,0.9535409,1,0,1) very rare (1-5)
93,0.023961166,0.9760388,1,0,1) very rare (1-5)
94,0.06070118,0.9392988,1,0,1) very rare (1-5)
95,0.25167665,0.7483233,1,0,1) very rare (1-5)
96,0.026835812,0.9731642,1,0,1) very rare (1-5)
97,0.20362777,0.79637223,1,0,1) very rare (1-5)
98,0.13669516,0.86330485,1,0,1) very rare (1-5)
99,0.09047036,0.9095296,1,0,1) very rare (1-5)
100,0.012794068,0.9872059,1,0,1) very rare (1-5)
101,0.45864788,0.54135215,1,0,1) very rare (1-5)
102,0.14489612,0.85510385,1,0,1) very rare (1-5)
103,0.2481402,0.7518598,1,0,1) very rare (1-5)
104,0.6288192,0.37118077,1,0,1) very rare (1-5)
105,0.36842635,0.6315737,1,0,1) very rare (1-5)
106,0.025313945,0.974686,1,0,1) very rare (1-5)
107,0.4986295,0.5013705,1,0,1) very rare (1-5)
108,0.6640034,0.33599663,1,0,1) very rare (1-5)
109,0.29520333,0.7047967,1,0,1) very rare (1-5)
110,0.17321065,0.8267894,1,0,1) very rare (1-5)
111,0.44180906,0.55819094,1,0,1) very rare (1-5)
112,0.10715498,0.89284503,1,0,1) very rare (1-5)
113,0.14308816,0.85691184,1,0,1) very rare (1-5)
114,0.055410095,0.9445899,1,0,1) very rare (1-5)
115,0.09355424,0.90644574,1,0,1) very rare (1-5)
116,0.010498815,0.9895012,1,0,1) very rare (1-5)
117,0.052251793,0.9477482,1,0,1) very rare (1-5)
118,0.14095992,0.8590401,1,0,1) very rare (1-5)
119,0.0455838,0.9544162,1,0,1) very rare (1-5)
120,0.07001669,0.9299833,1,0,1) very rare (1-5)
121,0.4985661,0.5014339,1,0,1) very rare (1-5)
122,0.33023122,0.6697688,1,0,1) very rare (1-5)
123,0.33029497,0.66970503,1,0,1) very rare (1-5)
124,0.2600395,0.7399605,1,0,1) very rare (1-5)
125,0.06067153,0.9393285,1,0,1) very rare (1-5)
126,0.031153597,0.9688464,1,0,1) very rare (1-5)
127,0.021584531,0.9784155,1,0,1) very rare (1-5)
128,0.071626894,0.9283731,1,0,1) very rare (1-5)
129,0.03774513,0.9622549,1,0,1) very rare (1-5)
130,0.0971089,0.9028911,1,0,1) very rare (1-5)
131,0.2337134,0.7662866,1,0,1) very rare (1-5)
132,0.02513202,0.974868,1,0,1) very rare (1-5)
133,0.21775529,0.7822447,1,0,1) very rare (1-5)
134,0.13751556,0.86248446,1,0,1) very rare (1-5)
135,0.08736162,0.91263837,1,0,1) very rare (1-5)
136,0.13775504,0.86224496,1,0,1) very rare (1-5)
137,0.032683417,0.96731657,1,0,1) very rare (1-5)
138,0.07764928,0.9223507,1,0,1) very rare (1-5)
139,0.7250188,0.2749812,1,0,1) very rare (1-5)
140,0.0630075,0.9369925,1,0,1) very rare (1-5)
141,0.21090767,0.7890923,1,0,1) very rare (1-5)
142,0.307759,0.692241,1,0,1) very rare (1-5)
143,0.010498815,0.9895012,1,0,1) very rare (1-5)
144,0.03316788,0.9668321,1,0,1) very rare (1-5)
145,0.055379767,0.94462025,1,0,1) very rare (1-5)
146,0.03483413,0.96516585,1,0,1) very rare (1-5)
147,0.14006847,0.8599315,1,0,1) very rare (1-5)
148,0.62879837,0.37120163,1,0,1) very rare (1-5)
149,0.6726248,0.32737517,1,0,1) very rare (1-5)
150,0.26677063,0.7332294,1,0,1) very rare (1-5)
151,0.042186197,0.9578138,1,0,1) very rare (1-5)
152,0.053151157,0.94684887,1,0,1) very rare (1-5)
153,0.17004798,0.829952,1,0,1) very rare (1-5)
154,0.09516692,0.9048331,1,0,1) very rare (1-5)
