mol_idx,top_score,uq,error,pred_template_orig_freq,tier
0,0.1032714,0.8967286,1,3,1) very rare (1-5)
1,0.59914035,0.40085965,1,2,1) very rare (1-5)
2,0.17855966,0.82144034,1,2,1) very rare (1-5)
3,0.6225811,0.37741888,1,2,1) very rare (1-5)
4,0.36624777,0.6337522,1,1,1) very rare (1-5)
5,0.02965395,0.97034603,1,1,1) very rare (1-5)
6,0.8912998,0.108700216,1,4,1) very rare (1-5)
7,0.32090262,0.6790974,1,2,1) very rare (1-5)
8,0.011840139,0.98815984,1,1,1) very rare (1-5)
9,0.017275382,0.9827246,1,1,1) very rare (1-5)
10,0.010511568,0.9894884,1,2,1) very rare (1-5)
11,0.01560618,0.98439384,1,5,1) very rare (1-5)
12,0.42337647,0.57662356,1,1,1) very rare (1-5)
13,0.6034291,0.39657092,1,1,1) very rare (1-5)
14,0.3857033,0.6142967,1,1,1) very rare (1-5)
15,0.44588327,0.5541167,0,2,1) very rare (1-5)
16,0.053534336,0.9464657,1,1,1) very rare (1-5)
17,0.4662643,0.5337357,1,1,1) very rare (1-5)
18,0.94857585,0.051424146,1,1,1) very rare (1-5)
19,0.49821812,0.5017819,0,4,1) very rare (1-5)
20,0.30229497,0.69770503,1,1,1) very rare (1-5)
21,0.33827943,0.6617206,0,5,1) very rare (1-5)
22,0.11437163,0.88562834,1,3,1) very rare (1-5)
23,0.020284954,0.97971505,1,1,1) very rare (1-5)
24,0.039939206,0.9600608,1,1,1) very rare (1-5)
25,0.23347777,0.7665222,1,5,1) very rare (1-5)
26,0.058318716,0.94168127,1,2,1) very rare (1-5)
27,0.3225496,0.6774504,1,1,1) very rare (1-5)
28,0.18468377,0.8153162,1,1,1) very rare (1-5)
29,0.1209346,0.8790654,1,1,1) very rare (1-5)
30,0.0829778,0.9170222,1,1,1) very rare (1-5)
31,0.13674688,0.8632531,1,1,1) very rare (1-5)
32,0.8545978,0.1454022,0,2,1) very rare (1-5)
33,0.58383775,0.41616225,1,1,1) very rare (1-5)
34,0.0975216,0.9024784,1,2,1) very rare (1-5)
35,0.49939325,0.5006068,1,4,1) very rare (1-5)
